caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24176-141876,Certified,,2024-07-01T00:00:00,Alibaba Group (U.S) Inc. ,Senior Staff Algorithm Engineer,15-1252.00,Software Developers,Y,182312,286800,Year,182312,Year,Bellevue,WA,98004,182312,FY2024_Q4
I-200-24179-154279,Withdrawn,,2024-07-01T00:00:00,Alibaba Group (U.S) Inc.,Senior Staff Algorithm Engineer,15-1252.00,Software Developers,Y,182312,286800,Year,182312,Year,Bellevue,WA,98004,,FY2024_Q4
I-200-24187-177336,Certified,,2024-07-12T00:00:00,Alibaba.com US E-commerce Corporation,Content Strategy Expert,13-1161.01,Search Marketing Strategists,Y,105893,150000,Year,105893,Year,Sunnyvale,CA,94085,105893,FY2024_Q4
I-200-24229-271554,Certified,,2024-08-22T00:00:00,Alibaba.com US E-commerce Corporation,Channel Operation Expert,13-1161.00,Market Research Analysts and Marketing Specialists,Y,104832,174000,Year,104832,Year,Pasadena,CA,91101,104832,FY2024_Q4
I-200-24282-394230,Certified,,2024-10-16T00:00:00,Alibaba Group (U.S) Inc.,Senior Specialist,11-9141.00,"Property, Real Estate, and Community Association Managers",Y,77750,97440,Year,77750,Year,Sunnyvale,CA,94085,77750,FY2025_Q1
I-200-24296-424866,Certified,,2024-10-29T00:00:00,Alibaba Group (U.S) Inc.,Senior Engineer,15-1252.00,Software Developers,Y,199534,210000,Year,199534,Year,Sunnyvale,CA,94085,199534,FY2025_Q1
I-200-24306-449089,Certified,,2024-11-08T00:00:00,Alibaba.com US E-commerce Corporation,Engineer-Algorithm-Applied Algorithm,15-1252.00,Software Developers,Y,172931,264000,Year,172931,Year,Sunnyvale,CA,95054,172931,FY2025_Q1
I-200-24354-558221,Certified,,2024-12-30T00:00:00,Alibaba Cloud US LLC,Facility Manager,17-2141.00,Mechanical Engineers,Y,128690,148800,Year,128690,Year,Sunnyvale,CA,94085,128690,FY2025_Q1
I-202-24309-451254,Certified,,2024-11-12T00:00:00,Alibaba Cloud US LLC,Sales Manager,11-2022.00,Sales Managers,Y,180139,240136,Year,180139,Year,Sunnyvale,CA,94085,180139,FY2025_Q1
I-200-25006-598459,Certified,,2025-01-14T00:00:00,Alibaba Group (U.S) Inc.,Senior Administrative Specialist,11-9141.00,"Property, Real Estate, and Community Association Managers",Y,77750,97440,Year,77750,Year,Sunnyvale,CA,94085,77750,FY2025_Q2
I-200-25132-967188,Certified,,2025-05-19T00:00:00,Alibaba Cloud US LLC,Site Reliability Engineer,15-1299.08,Computer Systems Engineers/Architects,Y,132579,144000,Year,132579,Year,Sunnyvale,CA,94085,132579,FY2025_Q3
I-200-25135-978411,Certified,,2025-05-22T00:00:00,Alibaba Group (U.S) Inc.,Senior Algorithm Engineer,15-2031.00,Operations Research Analysts,Y,126090,192000,Year,126090,Year,Bellevue,WA,98004,126090,FY2025_Q3
I-200-25140-994484,Certified,,2025-05-28T00:00:00,Alibaba Cloud US LLC,Software Engineer,15-1252.00,Software Developers,Y,137259,169200,Year,137259,Year,Bellevue,WA,98004,137259,FY2025_Q3
I-200-25141-000275,Certified,,2025-05-29T00:00:00,Alibaba Cloud US LLC,System Development Engineer,15-1252.00,Software Developers,Y,146307,156000,Year,146307,Year,Sunnyvale,CA,94085,146307,FY2025_Q3
I-200-25141-000531,Certified,,2025-05-29T00:00:00,Alibaba Group (U.S) Inc.,Senior Algorithm Engineer,15-1221.00,Computer and Information Research Scientists,Y,176571,180000,Year,176571,Year,Bellevue,WA,98004,176571,FY2025_Q3
I-200-25141-999532,Certified,,2025-05-28T00:00:00,Alibaba.com US E-commerce Corporation,Senior Government Affairs Specialist,13-1041.07,Regulatory Affairs Specialists,Y,91270,102000,Year,91270,Year,Sunnyvale,CA,94085,91270,FY2025_Q3
I-200-25142-005338,Certified,,2025-05-29T00:00:00,Alibaba Cloud US LLC,Data Center Operation,15-2051.01,Business Intelligence Analysts,Y,117291,118200,Year,117291,Year,Sunnyvale,CA,94085,117291,FY2025_Q3
I-200-25143-011150,Certified,,2025-06-02T00:00:00,Alibaba Cloud US LLC,System Development Engineer-network,15-1244.00,Network and Computer Systems Administrators,Y,115856,151200,Year,115856,Year,Sunnyvale,CA,94085,115856,FY2025_Q3
I-200-25143-013405,Certified,,2025-06-02T00:00:00,Alibaba Cloud US LLC,Industry Solution Architect,41-9031.00,Sales Engineers,Y,200304,208800,Year,200304,Year,Sunnyvale,CA,94085,200304,FY2025_Q3
