caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-25268-333299,Certified,,2025-11-04T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,187574,625000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25268-335926,Certified,,2025-11-04T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,187574,340000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25268-335974,Certified,,2025-11-04T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,160805,340000,Year,160805,Year,New York,NY,10013,160805,FY2026_Q3
I-200-25314-393423,Certified,,2025-11-18T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,226138,320000,Year,187574,Year,San Francisco,CA,94105,226138,FY2026_Q3
I-200-25314-393473,Certified,,2025-11-18T00:00:00,"Anthropic, PBC",MEMBER OF TECHNICAL STAFF,15-1252.00,Software Developers,Y,187574,340000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25329-437155,Certified,,2025-12-03T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,226138,405000,Year,187574,Year,San Francisco,CA,94105,226138,FY2026_Q3
I-200-25337-454669,Certified,,2025-12-10T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,340000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25338-457573,Certified,,2025-12-11T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,340000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25339-462494,Certified,,2025-12-12T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,320000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25345-475377,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1299.09,Information Technology Project Managers,Y,181293,305000,Year,150405,Year,San Francisco,CA,94105,181293,FY2026_Q3
I-200-25345-475390,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,320000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25346-477314,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Research Operations,15-2031.00,Operations Research Analysts,Y,125000,500000,Year,124509,Year,San Francisco,CA,94105,125000,FY2026_Q3
I-200-25346-477320,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Product Operations,15-2031.00,Operations Research Analysts,Y,125000,500000,Year,124509,Year,San Francisco,CA,94105,125000,FY2026_Q3
I-200-25346-477322,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,320000,Year,160805,Year,New York,NY,10013,187574,FY2026_Q3
I-200-25346-477325,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Technical Sales,41-9031.00,Sales Engineers,Y,156000,500000,Year,155522,Year,San Francisco,CA,94105,156000,FY2026_Q3
I-200-25346-477329,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,340000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25346-477330,Certified,,2025-12-18T00:00:00,"Anthropic, PBC",Compute Capacity,15-1252.00,Software Developers,Y,187574,300000,Year,160805,Year,New York,NY,10013,187574,FY2026_Q3
I-200-25351-489124,Certified,,2025-12-23T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,425000,Year,160805,Year,New York,NY,10013,187574,FY2026_Q3
I-200-25352-495329,Certified - Withdrawn,,2026-01-07T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,320000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25352-495342,Certified,,2025-12-26T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,226138,315000,Year,187574,Year,San Francisco,CA,94105,226138,FY2026_Q3
I-200-25352-495850,Certified,,2025-12-26T00:00:00,Margaret A Cargill Philanthropic Services LLC,Sr. Investment Analyst,13-2051.00,Financial and Investment Analysts,Y,127650,176700,Year,127650,Year,Eden Prarie,MN,55344,127650,FY2026_Q3
I-200-25357-504606,Certified,,2025-12-30T00:00:00,"Anthropic, PBC",Technical Sales,41-9031.00,Sales Engineers,Y,155522,240000,Year,155189,Year,New York,NY,10013,155522,FY2026_Q3
I-200-25357-504608,Certified,,2025-12-30T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,500000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25358-508679,Certified,,2026-01-02T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,320000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-25360-511538,Certified,,2026-01-05T00:00:00,"Anthropic, PBC",Commercial Counsel,23-1011.00,Lawyers,Y,274414,320000,Year,215530,Year,New York,NY,10013,274414,FY2026_Q3
I-200-25363-514595,Certified,,2026-01-06T00:00:00,"Anthropic, PBC",Account Executive,13-1161.00,Market Research Analysts and Marketing Specialists,Y,98322,112320,Year,98322,Year,San Francisco,CA,94105,98322,FY2026_Q3
I-200-26007-539503,Certified,,2026-01-13T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,500000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26007-539775,Certified,,2026-01-14T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,187574,485000,Year,187574,Year,San Francisco,CA,94105,187574,FY2026_Q3
I-200-26007-542897,Certified,,2026-01-14T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,188000,500000,Year,150758,Year,Washington,DC,20005,188000,FY2026_Q3
I-200-26007-542898,Certified,,2026-01-14T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1252.00,Software Developers,Y,188000,500000,Year,160805,Year,New York,NY,10007,188000,FY2026_Q3
I-200-26009-546446,Certified,,2026-01-15T00:00:00,"Anthropic, PBC",Product Design Manager,15-1255.00,Web and Digital Interface Designers,Y,153691,385000,Year,153691,Year,San Francisco,CA,94105,153691,FY2026_Q3
I-200-26013-553944,Certified,,2026-01-20T00:00:00,"Anthropic, PBC",Member of Technical Staff,15-1221.00,Computer and Information Research Scientists,Y,1380000,,Year,171621,Year,San Francisco,CA,94105,,FY2026_Q3
