caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24178-152100,Certified,,2024-07-03T00:00:00,BYD Coach and Bus LLC,"Supervisor, Cost Accounting",13-2011.00,Accountants and Auditors,Y,75088,97000,Year,75088,Year,Lancaster,CA,93534,75088,FY2024_Q4
I-200-24200-205416,Certified,,2024-07-25T00:00:00,BYD Coach and Bus LLC,Project Manager,11-3051.00,Industrial Production Managers,Y,104666,140000,Year,104666,Year,Lancaster,CA,93534,104666,FY2024_Q4
I-200-24226-264165,Certified,,2024-08-20T00:00:00,BYD Electronics America Corp.,Senior Mechanical Engineer,17-2141.00,Mechanical Engineers,Y,102336,160000,Year,102336,Year,Cupertino,CA,95014,102336,FY2024_Q4
I-200-24233-281084,Certified,,2024-08-27T00:00:00,BYD Coach and Bus LLC,Layout Engineer,17-2141.02,Automotive Engineers,Y,77314,102000,Year,77314,Year,Lancaster,CA,93534,77314,FY2024_Q4
I-200-24235-287972,Certified,,2024-08-29T00:00:00,BYD Electronics America Corp.,Project Engineer,17-2141.00,Mechanical Engineers,Y,142854,143630,Year,142854,Year,San Mateo,CA,94403,142854,FY2024_Q4
I-200-24254-328387,Certified,,2024-09-17T00:00:00,BYD Electronics America Corp.,Field Application Engineer,17-2141.00,Mechanical Engineers,Y,102336,115000,Year,102336,Year,Cupertino,CA,95014,102336,FY2024_Q4
I-200-24261-343779,Certified,,2024-09-24T00:00:00,BYD Truck LLC,Aftersales Engineer Manager (Mechanical Engineering),17-2141.00,Mechanical Engineers,Y,77314,90000,Year,77314,Year,Pasadena,CA,91101,77314,FY2024_Q4
I-200-24278-387691,Certified,,2024-10-11T00:00:00,BYD Motors LLC,Legal Project Manager (Judicial Law Clerk),23-1012.00,Judicial Law Clerks,Y,60174,80000,Year,60174,Year,Pasadena,CA,91101,60174,FY2025_Q1
I-200-24285-401464,Certified,,2024-10-21T00:00:00,BYD Motors LLC,Customer Service Engineering Supervisor,17-2141.02,Automotive Engineers,Y,97198,120000,Year,97198,Year,Pasadena,CA,91101,97198,FY2025_Q1
I-200-24307-449265,Certified,,2024-11-08T00:00:00,BYD Energy LLC,Mechanical Engineer,17-2141.00,Mechanical Engineers,Y,97198,98000,Year,97198,Year,Lancaster,CA,93535,97198,FY2025_Q1
I-200-24317-468185,Certified,,2024-11-19T00:00:00,BYD Electronics America Corp.,Technical Project Manager,17-2131.00,Materials Engineers,Y,119496,126000,Year,119496,Year,Cupertino,CA,95014,119496,FY2025_Q1
I-200-24338-512318,Certified,,2024-12-10T00:00:00,BYD Coach and Bus LLC,Senior Business System Specialist,15-1211.00,Computer Systems Analysts,Y,99611,110000,Year,99611,Year,Lancaster,CA,93534,99611,FY2025_Q1
I-200-25013-614332,Certified,,2025-01-21T00:00:00,BYD Electronics America Corp.,Senior Mechanical Engineer,17-2141.00,Mechanical Engineers,Y,102336,140000,Year,102336,Year,Cupertino,CA,95014,102336,FY2025_Q2
I-200-25036-666970,Certified,,2025-02-12T00:00:00,BYD Motors LLC,Project Manager “ Special Projects,11-3051.00,Industrial Production Managers,Y,104666,110000,Year,104666,Year,Pasadena,CA,91101,104666,FY2025_Q2
I-200-25099-844842,Certified,,2025-04-16T00:00:00,BYD Electronics America Corp.,Business Development Manager,15-2051.01,Business Intelligence Analysts,Y,117291,128856,Year,117291,Year,Cupertino,CA,95014,117291,FY2025_Q3
I-200-25100-851985,Certified,,2025-04-17T00:00:00,BYD Coach and Bus LLC,Accountant,13-2011.00,Accountants and Auditors,Y,78978,95000,Year,78978,Year,Lancaster,CA,93534,78978,FY2025_Q3
I-200-25100-852203,Certified,,2025-04-17T00:00:00,BYD Motors LLC,Automotive Designer,27-1021.00,Commercial and Industrial Designers,Y,71885,100000,Year,71885,Year,Pasadena,CA,91101,71885,FY2025_Q3
I-200-25105-866179,Certified,,2025-04-22T00:00:00,BYD Coach and Bus LLC,Mechanical Engineer,17-2141.00,Mechanical Engineers,Y,77314,92588.08,Year,77314,Year,LANCASTER,CA,93534,77314,FY2025_Q3
I-200-25122-929535,Certified,,2025-05-08T00:00:00,ChiByDesign Inc,Design Lead,17-2112.00,Industrial Engineers,Y,90000,,Year,87110,Year,Chicago,IL,60606,90000,FY2025_Q3
I-200-25122-930797,Certified,,2025-05-09T00:00:00,ChiByDesign Inc.,Design Lead,17-2112.01,Human Factors Engineers and Ergonomists,Y,136500,,Year,121701,Year,Chicago,IL,60654,136500,FY2025_Q3
I-200-25126-943494,Certified,,2025-05-13T00:00:00,BYD Motors LLC,Automotive Designer,27-1021.00,Commercial and Industrial Designers,Y,71885,100000,Year,71885,Year,Pasadena,CA,91107,71885,FY2025_Q3
I-200-25126-943563,Certified,,2025-05-13T00:00:00,BYD Motors LLC,Product Engineer,17-2141.00,Mechanical Engineers,Y,97198,117000,Year,97198,Year,Pasadena,CA,91107,97198,FY2025_Q3
I-200-25139-993448,Certified,,2025-05-27T00:00:00,ChiByDesign Inc.,Design Researcher,17-2112.00,Industrial Engineers,Y,90000,,Year,87110,Year,Chicago,IL,60601,90000,FY2025_Q3
