reqId,title,company,hiringOrg,timeType,postedOn,startDate,postingAgeDays,primaryLocation,nLocations,locations,remoteFlag,stateCodes,country,questionnaireId,similarJobsCount,description,descriptionLength,url,detailError,linkedinUrl,linkedinPostedDate,numApplicants,applicantLabel,dateDeltaDays,corroborationStatus,matchMethod,firstSeenDate,corroboratedOn,dumpDate,endDate,daysOnMarket,daysOnMarketBasis,censored,repostCount,lastResetDate,applicationDeadline,daysLeftToApply,workerSubType,jobFamilyGroup,earliestEvidenceDate,crossSourceRepostEvidence,applicantCensored,h1bFilings,h1bWageP25,h1bWageP50,h1bWageP75,h1bMatchBasis,h1bMatchTitle
A133625,Visual Generation & Multimodal Evaluation Researcher Graduate (AML-Ark-US) - 2027 Start (PhD),bytedance,ByteDance,Full time,,,,Seattle,1,Seattle,false,,United States of America,,0,"The Applied Machine Learning Ark team combines system engineering and machine learning to develop and operate Large Language Model (LLM) service platforms that offer businesses Model-as-a-Service (MaaS) solutions, serving both large model providers and downstream users. The US team drives the design, development, and operation of MaaS solutions across the US and international markets outside mainland China. We are building full-stack, end-to-end solutions spanning text and multimodal LLM algorithms, LLM training/fine-tuning/inference frameworks, prompt engineering, model alignment, and intelligent agent systems. Beyond model serving, we operate large-scale log analytics pipelines that process massive volumes of invocation logs from text models, multimodal models, and agent systems — extracting usage patterns, quality signals, and actionable insights to inform model improvement, system optimization, and product decisions through continuous, data-driven feedback loops. We are actively seeking talented engineers and researchers specializing in Large Language Models and AI Agent systems to join our dynamic team.

We are looking for talented individuals to join our team. As a graduate, you will get opportunities to pursue bold ideas, tackle complex challenges, and unlock limitless growth.
Successful candidates must be able to commit to an onboarding date by the end of the year. Please state your availability and graduation date clearly in your resume.

Responsibilities:
- Build evaluation systems for image and video models/agents, covering generation quality, instruction following, multimodal understanding, and safety.
- Develop automated metrics and model-based evaluators, and design reproducible human evaluation protocols.
- Design and develop video generation/debugging agents that orchestrate multi-step creative workflows.
- Build large-scale image and video data pipelines, and turn evaluation findings into model and product improvements.

Minimum Qualifications:
- Individuals who are completing or have recently completed a PhD's degree in Computer Science, Artificial Intelligence, Machine Learning, Computer Vision, or a related field.
- Solid foundation in deep learning and computer vision, including generative modeling fundamentals.
- Practical experience in at least one of: visual generation, multimodal LLMs, video understanding, or visual quality assessment.
- Strong Python skills and proficiency with PyTorch or an equivalent framework, or multimodal evaluation framework.
- Demonstrated research or engineering ability through publications, substantial projects, internships, or open-source work.

Preferred Qualifications:
- Publications at top-tier vision or ML venues, e.g., NeurIPS, ICML, CVPR, ICCV, ECCV, etc.
- Hands-on experience with modern visual generation stacks, including diffusion-based models and their post-training.
- Familiarity with visual generation benchmarks, or experience building evaluation frameworks.
- Experience applying agent frameworks to creative workflows, or working with large-scale video data infrastructure.",3092,https://joinbytedance.com/search/7672392998192154885,,,,,,,no_match,,2026-09-19,,2026-09-23,,,,true,0,,,,,R&D,,,false,,,,,,
8DL1,Network Engineer -Operations,bytedance,ByteDance,Full time,,,,Seattle,1,Seattle,false,,United States of America,,0,"About the Team
ByteDance Networking brings together innovative ideas and technologies from network architecture, software-defined networking (SDN), network virtualization, switch software and hardware co-design, and high-speed networking, to create hyperscale data-center networking solutions that power several of the most popular apps of the world such as Douyin and TikTok which serve hundreds of millions of users around the globe.

ByteDance Networking is responsible for designing, building, and operating the global, intelligent network infrastructure to meet the requirements of high availability, scalability, and high-performance. By joining this team, you will gain marketable software development and/or network operation experiences in data center networking at massive scale.

Responsibilities
- Design, build, operate and optimize ByteDance's global network, including backbone, data center, public cloud and Edge/CDN.
- Work with cross-functional teams including but not limited to compute, storage, database, recommendation system, drive the innovation and evolution of ByteDance network.
- Work with external vendors and ISPs for device and carrier selection, perform testing and verification.
- Travel may be required up to 15% - 30% of the time.

Minimum Qualifications:
- Good understanding of network protocols including TCP/IP, DHCP, BGP, OSPF/IS-IS and MPLS related technologies.
- Good understanding of network monitoring protocols and tools, such as SNMP, Sflow/netflow, Telemetry.
- Familiar with data center network architecture, such as CLOS.
- Hands-on experience of major network devices, such as Cisco, Arista, Juniper, H3C, Huawei and other mainstream vendors.
- Self-motivated, good communication and written skills.
- Team player and participate ByteDance network global oncall rotation.
- Bachelor's in Computer Science, Information Science, Engineering, Mathematics, or a related field, or experience equivalent to a Bachelor's degree based on three or more years of work experience

Preferred Qualifications:
- In-depth knowledge of network protocols and implementation in hyper scale data center networks.
- In-depth knowledge of MPLS related Traffic Engineering technologies, such as Segment Routing, RSVP, and LDP etc.
- In-depth knowledge of public cloud architecture, such as AWS, GCP, Azure, Ali Cloud, OCI, etc.
- Familiar with mainstream commercial switch/router chipsets, such as Broadcom, Barefoot etc.
- Good understanding of IPv6 and IPv4-IPv6 co-existence technologies.
- Programming/scripting in Python or other languages.",2574,https://joinbytedance.com/search/7639897254840797493,,,,,,,no_match,,2026-09-19,,2026-09-23,,,,true,0,,,,,R&D,,,false,4,220122,266500,305500,subset,Network Engineer
A215113,Research Engineer – Multimodal Training Infrastructure (Seed Infra),bytedance,ByteDance,Full time,,,,San Jose,1,San Jose,false,,United States of America,,0,"About the team
The Seed Infrastructures team oversees the distributed training, reinforcement learning framework, high-performance inference, and heterogeneous hardware compilation technologies for AI foundation models.

Responsibilities
- Conduct research and development on large-scale infrastructure to enable efficient training of foundation models, multimodal LLMs, and image/video generation models
- Design and optimize distributed training strategies for multimodal LLMs, including parallelism schemes, computation and communication optimization, and throughput scaling on large GPU clusters
- Investigate system reliability and resilience techniques, such as fast checkpointing, fault tolerance, and failure diagnosis for long-running training workloads
- Research and optimize network, scheduling, and GPU memory management across the training stack, driving cross-layer performance improvements
- Analyze performance bottlenecks in exascale training systems and propose principled, data-driven optimization methods
- Bridge cutting-edge research and large-scale production deployment by translating research ideas into scalable, real-world infrastructure solutions

Minimum Qualifications
- Deep expertise in large-scale distributed training of LLMs and multimodal models
- Strong systems research background with demonstrated ability to design, build, and optimize large-scale ML systems
- Proven experience with parallelism strategies (e.g., data, model, pipeline, expert parallelism) and performance optimization on large GPU clusters
- Strong programming skills and hands-on experience implementing production-grade ML systems or infrastructure
- Solid understanding of algorithm–system co-design and cross-layer optimization for training efficiency, scalability, and reliability",1794,https://joinbytedance.com/search/7610544143185709365,,,,,,,no_match,,2026-09-19,,2026-09-23,,,,true,0,,,,,R&D,,,false,,,,,,
A99932,PC Publishing & PR Manager - Games,bytedance,ByteDance,Full time,,,,Seattle,1,Seattle,false,,United States of America,,0,"About the Team
ONE Studio, with teams in Shenzhen, Beijing, and Shanghai, oversees the distribution and long-term operation of ByteDance’s self-developed and licensed games in China and abroad. Our portfolio includes titles such as MARVEL SNAP, Ragnarok X: Next Generation, The Legend of Hei Shan, and Core Crystal. By bringing together creative excellence and operational expertise, ONE Studio delivers engaging gaming experiences that inspire joy for players worldwide.

- Develop and execute media strategy for PC games and brand-oriented mobile games in the European and North American markets
- Manage connections with mainstream gaming media; proactively understand editors’ preferences; tailor communication strategies based on game attributes; conduct targeted pitching to secure more media coverage opportunities.
- Strategize collaboration with globally influential gaming exhibitions (especially in Europe and North America); understand the publishing value and costs of exhibitions for the assigned game genres; evaluate ROI; coordinate with vendors to execute respective exhibition participation.
- Lead general publishing processes across major gaming platforms (Steam, PlayStation, Xbox, etc.); drive exposure opportunities through business partnerships and platform operations.

Minimum Qualifications
- 5+ years of PR experience in gaming or other related industries.
- Strong media network across multiple gaming platforms and deep understanding of media landscapes.
- Excellent communication and relationship management skills.
- Cross-functional collaboration experience (social media, community, PR, etc.)
- Deep involvement in the gaming industry; familiar with PC and major-brand gamer communities and gaming culture.",1740,https://joinbytedance.com/search/7605775780221552901,,,,,,,no_match,,2026-09-19,,2026-09-23,,,,true,0,,,,,Marketing,,,false,,,,,,
A223099A,"Research Scientist, Foundation Model, Speech Understanding",bytedance,ByteDance,Full time,,,,San Jose,1,San Jose,false,,United States of America,,0,"About the Team
Established in 2023, the ByteDance Seed team is dedicated to pioneering new paths toward artificial general intelligence. We aspire to advance the frontier of intelligence to drive progress for both technology and society.
With a long-term vision for the AI sector, the Seed team's research spans MLLM, GenMedia, AI for Science, and Robotics. We maintain a global presence with laboratories and career opportunities across China, Singapore, and the United States. To date, we have launched industry-leading general foundation models and cutting-edge multimodal capabilities. Our technology powers over 50 application scenarios — including Doubao, Jimeng, TRAE, Dola and Dreamnia — and serves enterprise customers through Volcano Engine and BytePlus. Third-party data shows that the Doubao App ranks first in user volume in the Chinese market, while Doubao foundation models lead the industry in average daily token consumption.

The mission of the Seed Speech team is to enrich interactive and creative processes through the application of multimodal speech technologies. The team focuses on the forefront of research and product development in speech and audio, music, natural language understanding, and multimodal deep learning.

Responsibilities
- Conduct research and development in speech/audio foundation models
- Collaborate with cross-functional teams to identify key research areas and contribute to the development of innovative speech/audio models.
- Work with product development teams to integrate research findings into practical applications for ByteDance and other platforms.
- Collaborate on team-driven projects to address complex challenges and enhance the overall effectiveness of the research team.

Minimum Qualifications
- Master's or PhD in computer science, mathematics, engineering or related field
- Have 3+ years of experience in one or more areas of machine learning and deep learning, including but not limited to: Automatic Speech Recognition, Automatic Speech Translation, Speech/audio self-supervised learning and foundation models, Speaker recognition and verification, Speech emotion recognition, Multimodal foundation models, Large Language Model pre-training and fine-tuning.

Preferred Qualifications
- Publications in accredited ML/DL venues such as NeurIPS, ICLR, ICML, AAAI and speech venues such as ICASSP, ASRU, Interspeech
- Deep understanding of Large Language models
- Familiar with distributed computing and large scale model training
- Familiar with deep learning frameworks such as Tensorflow and Pytorch.
- Familiar with engineering principles and best practices.
- Highly competent in algorithms and programming; Strong coding skills in C/C++ and Python.
- Ability to work collaboratively in a fast-paced, multi-functional environments",2802,https://joinbytedance.com/search/7302173991929497882,,,,,,,no_match,,2026-09-19,,2026-09-23,,,,true,0,,,,,R&D,,,false,,,,,,
A78978,Research Engineer - LLM Training Infrastructure - Seed Infra,bytedance,ByteDance,Full time,,,,Seattle,1,Seattle,false,,United States of America,,0,"Team Information:
The Seed Infrastructures team oversees the distributed training, reinforcement learning framework, high-performance inference, and heterogeneous hardware compilation technologies for AI foundation models.

Responsibilities
- Conduct research and development on large-scale LLM training infrastructure and efficiency
- Design and optimize distributed training strategies for LLMs, including parallelism schemes, computation and communication optimization, and throughput scaling on large GPU clusters
- Investigate system reliability and resilience techniques, such as fast checkpointing, fault tolerance, and failure diagnosis for long-running training workloads
- Research and optimize network, scheduling, and GPU memory management across the training stack, driving cross-layer performance improvements
- Analyze performance bottlenecks in exascale training systems and propose principled, data-driven optimization methods
- Bridge cutting-edge research and large-scale production deployment by translating research ideas into scalable, real-world AI infrastructure solutions

Minimum Qualifications
- Experience with large-scale distributed training for LLMs
- Strong programming skills in Python and/or C++
- Strong background in ML systems / training infrastructure development
- Proficiency in parallelism strategies (DDP, FSDP, model/pipeline/expert parallelism)
- Solid understanding of training stack internals (PyTorch, CUDA, NCCL)
- Experience in performance optimization (memory, communication, throughput)

Preferred Qualifications
- Hands-on experience with distributed training frameworks and large-scale LLM infrastructure
- Experience leading or mentoring engineering teams or cross-functional projects
- Publications in top-tier AI, systems, or HPC conferences (ICML, OSDI, SOSP, NSDI, SIGCOMM, MLSys) or strong open-source contributions
- Familiarity with benchmarking AI accelerators or large-scale LLM evaluation (e.g., ByteMLPerf)",1971,https://joinbytedance.com/search/7630900369176430853,,,,,,,no_match,,2026-09-19,,2026-09-23,,,,true,0,,,,,R&D,,,false,,,,,,
A134438,Software Engineer Graduate (AI Compute) - 2027 Start (PhD),bytedance,ByteDance,Full time,,,,Seattle,1,Seattle,false,,United States of America,,0,"About the Team:
The Inference Infrastructure team is the creator and open-source maintainer of AIBrix, a Kubernetes-native control plane for large-scale LLM inference. We are part of ByteDance’s Core Compute Infrastructure organization, responsible for designing and operating the platforms that power microservices, big data, distributed storage, machine learning training and inference, and edge computing across multi-cloud and global datacenters.

With ByteDance's rapidly growing businesses and a global fleet of machines running hundreds of millions of containers daily, we are building the next generation of cloud-native, GPU-optimized orchestration systems. Our mission is to deliver infrastructure that is highly performant, massively scalable, cost-efficient, and easy to use—enabling both internal and external developers to bring AI workloads from research to production at scale.

We are expanding our focus on LLM inference infrastructure to support new AI workloads, and are looking for engineers passionate about cloud-native systems, scheduling, and GPU acceleration. You'll work in a hyper-scale environment, collaborate with world-class engineers, contribute to the open-source community, and help shape the future of AI inference infrastructure globally.

We are looking for talented individuals to join our team. As a graduate, you will get opportunities to pursue bold ideas, tackle complex challenges, and unlock limitless growth.
Successful candidates must be able to commit to an onboarding date by the end of the year. Please state your availability and graduation date clearly in your resume.

Responsibilities:
- Design and build large-scale, container-based cluster management and orchestration systems with extreme performance, scalability, and resilience.
- Architect next-generation cloud-native GPU and AI accelerator infrastructure to deliver cost-efficient and secure ML platforms.
- Collaborate across teams to deliver world-class inference solutions using vLLM, SGLang, TensorRT-LLM, and other LLM engines.
- Stay current with the latest advances in open source (Kubernetes, Ray, etc.), AI/ML and LLM infrastructure, and systems research; integrate best practices into production systems.
- Write high-quality, production-ready code that is maintainable, testable, and scalable.

Minimum Qualifications:
- Individuals who are completing or have recently completed a PhD degree in Software Development, Computer Science, Computer Engineering, or a related technical discipline.
- Strong understanding of large model inference, distributed and parallel systems, and/or high-performance networking systems.
- Hands-on experience building cloud or ML infrastructure in areas such as resource management, scheduling, request routing, monitoring, or orchestration.
- Solid knowledge of container and orchestration technologies (Docker, Kubernetes).
- Proficiency in at least one major programming language (Go, Rust, Python, or C++).

Preferred Qualifications:
- Experience contributing to or operating large-scale cluster management systems (e.g., Kubernetes, Ray).
- Experience with workload scheduling, GPU orchestration, scaling, and isolation in production environments.
- Hands-on experience with GPU programming (CUDA) or inference engines (vLLM, SGLang, TensorRT-LLM).
- Familiarity with public cloud providers (AWS, Azure, GCP) and their ML platforms (SageMaker, Azure ML, Vertex AI).
- Strong knowledge of ML systems (Ray, DeepSpeed, PyTorch) and distributed training/inference platforms.
- Excellent communication skills and ability to collaborate across global, cross-functional teams.
Passion for system efficiency, performance optimization, and open-source innovation.",3714,https://joinbytedance.com/search/7686732729746950405,,https://www.linkedin.com/jobs/view/4469282180,2026-09-19,25,among first 25,,matched,title,2026-09-19,2026-09-19T06:48:14,2026-09-23,,4,startDate+linkedin,true,0,,,,,R&D,2026-09-19,,true,285,149365,188000,250000,subset,Software Engineer
A117135,"Software Development Engineer, Storage Engine",bytedance,ByteDance,Full time,,,,San Jose,1,San Jose,false,,United States of America,,0,"About the Team:
The ByteDance Database LavaStore team builds and maintains ByteDance's purpose-built local storage engine for large-scale cloud services. Working at the intersection of storage engines, databases, filesystems, and performance engineering, the team solves highly write-intensive, latency-sensitive, and cost-sensitive infrastructure problems that general-purpose systems cannot fully address. The team combines systems research with end-to-end production ownership: it studies real workload patterns from database, key-value, and stream-processing systems, turns those insights into practical storage innovations, and validates them in production at massive scale. Its work spans LSM-based engine design, KV separation, garbage collection, WAL-oriented storage paths, append-optimized filesystems, caching, and tail-latency optimization. LavaStore has already been deployed at very large scale, with over 100,000 running instances, more than 100 PB of stored data, and over 2 billion requests per second, reflecting the team's focus on building simple, robust, and cost-effective infrastructure with measurable real-world impact.

Responsibilities:
- Participate in the design and implementation of high-performance KV storage engines and file systems for large-scale distributed storage & database system backends;
- Explore the design and evolution of next-generation KV storage engine architectures to ensure low latency and high throughput;
- Deeply understand storage requirements across business scenarios, and collaborate with business teams to find the most suitable storage solutions.

Minimum Qualifications:
- Bachelor's degree or higher in Computer Science, Computer Engineering, Electrical Engineering or related majors;
- Strong problem analysis, conceptual abstraction and design skills; proficient in C/C++, familiar with at least one of Python / Shell or similar languages;
- Proficient in systems programming, including system calls and library functions, network/multithreaded programming models, debugging, and IO performance tuning tools and techniques;
- In-depth understanding of storage system architectures and principles, such as LSM Tree, file systems (ext4/bluefs), etc.;
- Solid understanding of distributed systems fundamentals, including consensus, replication, consistency models, and fault tolerance;
- Excellent ability to identify and solve problems, good communication skills, team collaboration spirit, and a strong desire to learn new technologies.

Preferred Qualifications:
- PhD 's degree or higher in Computer Science, Computer Engineering, Electrical Engineering or related majors;
- Experience with asynchronous programming models and event-driven architectures, including callbacks, futures/promises, and coroutines;
- Prior development experience in any of the following: large-scale distributed storage / caching / database systems / single-node KV storage engines / single-node file systems;
- Familiarity with one or more common open-source projects such as RocksDB / LevelDB / Redis / Memcached / Cachelib; Prior RocksDB development experience is a plus;
- Prior development experience with storage-compute disaggregation architectures is a plus.",3211,https://joinbytedance.com/search/7683737141076707589,,https://www.linkedin.com/jobs/view/4464829344,2026-09-11,25,among first 25,,matched,title,2026-09-19,2026-09-19T06:47:19,2026-09-23,,12,startDate+linkedin,true,0,,,,,R&D,2026-09-11,,true,4,198000,201000,206000,subset,Software Development Engineer
A83426B,Senior Software Engineer - Data Agent & Agentic Search,bytedance,ByteDance,Full time,,,,San Jose,1,San Jose,false,,United States of America,,0,"About the Team:
The Search team is dedicated to building a fully managed, one-stop platform for information retrieval and analytics. Deeply compatible with Elasticsearch, OpenSearch, and Milvus, the platform serves four core scenarios—GenAI applications, search, security, and observability—and provides comprehensive capabilities across full-text search, vector search, geospatial search, and hybrid search. We are also building next-generation Agentic Search products, including RAG, AI-powered search, and multimodal retrieval, continuously pushing the boundaries of intelligent search technology.
We are deeply involved in the open-source ecosystem and have contributed hundreds of PRs across the OpenSearch, Elasticsearch, Lucene, and Milvus communities. Several members of our team hold key leadership roles in these communities, including Governing Board Member, Technical Steering Committee Member, PMC Member, and Maintainer, helping shape the evolution of the broader search and database ecosystem through sustained technical contributions.
On the business side, we not only provide reliable infrastructure for some of ByteDance’s largest-scale vector and full-text hybrid search workloads, but also deliver enterprise-grade cloud search services to external customers through Volcano Engine, helping businesses unlock growth through data. We embrace a pragmatic yet ambitious engineering culture: while continuously publishing innovative research at top-tier conferences such as VLDB and ICDE, we remain strongly focused on real-world impact and commercial adoption, building a comprehensive product portfolio that serves a wide range of search and AI use cases.
Our team brings together leading database researchers and exceptional engineers from around the world. We are looking for talented individuals with expertise in search or vector database engine development, distributed systems architecture, or AI model innovation to join us. Together, we will explore uncharted technical territory, define the data foundation for the AI era, and empower both ByteDance and enterprises across industries to achieve AI-driven transformation.

Responsibilities
- Build Agentic Search and Analytics systems that combine planning, retrieval, reasoning, tool execution, and iterative agentic loops.
- Develop multi-source and multimodal search across structured data, documents, images, audio, and video.
- Build a unified semantic layer for heterogeneous enterprise data, including entities, metrics, metadata, and relationships.
- Explore semantic accumulation and self-evolving agents that continuously improve through interactions, feedback, memory, and historical executions.

Minimum Qualifications
- B.S in Computer Science, AI, Machine Learning, or a related field.
- Strong coding, data structures, and algorithm skills; proficient in Python, Java, C++, or Golang.
- Familiarity with LLMs, Agents, Search, RAG, Information Retrieval, or Machine Learning.
- Strong problem-solving, learning, and communication skills.

Preferred Qualifications
- 5 years experience with Agentic Search, Data Agents, RAG, or AI Search through research, internships, or projects.
- Familiarity with Elasticsearch/OpenSearch, Milvus, Faiss, Qdrant, or similar retrieval systems.
- Experience with tool calling, MCP, Skills, memory, planning, or agent evaluation.
- Experience with semantic layers, knowledge graphs, multimodal retrieval, or large-scale data processing.",3459,https://joinbytedance.com/search/7680327698443946293,,https://www.linkedin.com/jobs/view/4460649856,2026-09-01,25,among first 25,,matched,title,2026-09-19,2026-09-19T06:48:22,2026-09-23,,22,startDate+linkedin,true,0,,,,,R&D,2026-09-01,,true,18,256979,276000,288750,subset,Senior Software Engineer
A249395A,"Senior Software Development Engineer, Storage Engine",bytedance,ByteDance,Full time,,,,San Jose,1,San Jose,false,,United States of America,,0,"About the Team:
The ByteDance Database LavaStore team builds and maintains ByteDance's purpose-built local storage engine for large-scale cloud services. Working at the intersection of storage engines, databases, filesystems, and performance engineering, the team solves highly write-intensive, latency-sensitive, and cost-sensitive infrastructure problems that general-purpose systems cannot fully address. The team combines systems research with end-to-end production ownership: it studies real workload patterns from database, key-value, and stream-processing systems, turns those insights into practical storage innovations, and validates them in production at massive scale. Its work spans LSM-based engine design, KV separation, garbage collection, WAL-oriented storage paths, append-optimized filesystems, caching, and tail-latency optimization. LavaStore has already been deployed at very large scale, with over 100,000 running instances, more than 100 PB of stored data, and over 2 billion requests per second, reflecting the team's focus on building simple, robust, and cost-effective infrastructure with measurable real-world impact.

Responsibilities:
- Participate in the design and implementation of high-performance KV storage engines and file systems for large-scale distributed storage & database system backends;
- Explore the design and evolution of next-generation KV storage engine architectures to ensure low latency and high throughput;
- Deeply understand storage requirements across business scenarios, and collaborate with business teams to find the most suitable storage solutions.

Minimum Qualifications:
- Bachelor's degree or higher in Computer Science, Computer Engineering, Electrical Engineering or related majors;
- Strong problem analysis, conceptual abstraction and design skills; proficient in C/C++, familiar with at least one of Python / Shell or similar languages;
- Proficient in systems programming, including system calls and library functions, network/multithreaded programming models, debugging, and IO performance tuning tools and techniques;
- In-depth understanding of storage system architectures and principles, such as LSM Tree, file systems (ext4/bluefs), etc.;
- Solid understanding of distributed systems fundamentals, including consensus, replication, consistency models, and fault tolerance;
- Excellent ability to identify and solve problems, good communication skills, team collaboration spirit, and a strong desire to learn new technologies.

Preferred Qualifications:
- PhD 's degree or higher in Computer Science, Computer Engineering, Electrical Engineering or related majors;
- 5 years experience with asynchronous programming models and event-driven architectures, including callbacks, futures/promises, and coroutines;
- Prior development experience in any of the following: large-scale distributed storage / caching / database systems / single-node KV storage engines / single-node file systems;
- Familiarity with one or more common open-source projects such as RocksDB / LevelDB / Redis / Memcached / Cachelib; Prior RocksDB development experience is a plus;
- Prior development experience with storage-compute disaggregation architectures is a plus.",3219,https://joinbytedance.com/search/7683738047909873973,,https://www.linkedin.com/jobs/view/4464806569,2026-09-11,25,among first 25,,matched,title,2026-09-19,2026-09-19T06:48:02,2026-09-23,,12,startDate+linkedin,true,0,,,,,R&D,2026-09-11,,true,,,,,,
