caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-22041-890910,Certified - Withdrawn,,2024-09-18T00:00:00,TikTok Inc.,"Software Engineer, TikTok Android",15-1132.00,"Software Developers, Applications",Y,205000,,Year,167710,Year,San Francisco,CA,94108,205000,FY2024_Q4
I-200-24108-894343,Certified - Withdrawn,,2024-09-20T00:00:00,BYTEDANCE INC.,Data Scientist,15-2051.00,Data Scientists,Y,190000,,Year,170186,Year,San Jose ,CA,95110,190000,FY2024_Q4
I-200-24157-074976,Certified - Withdrawn,,2024-09-20T00:00:00,TikTok Inc.,Senior Software Engineer - Data Privacy,15-1252.00,Software Developers,Y,285000,,Year,283442,Year,San Jose,CA,95110,285000,FY2024_Q4
I-200-24176-143533,Certified,,2024-07-01T00:00:00,BYTEDANCE INC.,Software Engineer,15-1252.00,Software Developers,Y,257000,,Year,182312,Year,Bellevue,WA,98004,257000,FY2024_Q4
I-200-24176-144054,Certified,,2024-07-01T00:00:00,BYTEDANCE INC.,Software Engineer,15-1252.00,Software Developers,Y,180000,,Year,135283,Year,San Jose ,CA,95110,180000,FY2024_Q4
I-200-24177-146692,Certified,,2024-07-02T00:00:00,BYTEDANCE INC.,Software Engineer,15-1252.00,Software Developers,Y,305000,,Year,283442,Year,San Jose,CA,95110,305000,FY2024_Q4
I-200-24177-146722,Withdrawn,,2024-07-01T00:00:00,TikTok Inc.,Software Engineer,15-1252.00,Software Developers,Y,298000,,Year,182312,Year,Bellevue,WA,98004,,FY2024_Q4
I-200-24177-147125,Certified,,2024-07-02T00:00:00,BYTEDANCE INC.,Multimedia Research Scientist,15-1221.00,Computer and Information Research Scientists,Y,215000,,Year,174429,Year,San Diego,CA,92122,215000,FY2024_Q4
I-200-24177-147874,Certified,,2024-07-02T00:00:00,BYTEDANCE INC.,"Data Scientist, Risk Data Mining",15-2031.00,Operations Research Analysts,Y,195600,,Year,174117,Year,San Jose,CA,95110,195600,FY2024_Q4
I-200-24178-150699,Certified,,2024-07-03T00:00:00,BYTEDANCE INC.,Site Reliability Engineer - Data Infrastructure,15-1252.00,Software Developers,Y,206978,,Year,182312,Year,Bellevue,WA,98004,206978,FY2024_Q4
I-200-24178-151894,Certified,,2024-07-03T00:00:00,BYTEDANCE INC.,Project Manager,15-1299.09,Information Technology Project Managers,Y,290000,,Year,210704,Year,San Jose,CA,95110,290000,FY2024_Q4
I-200-24178-151969,Certified,,2024-07-03T00:00:00,BYTEDANCE INC.,"Product Manager, Ads Privacy & Targeting",15-1299.09,Information Technology Project Managers,Y,236500,,Year,210704,Year,San Jose,CA,95110,236500,FY2024_Q4
I-200-24178-151991,Certified,,2024-07-03T00:00:00,TikTok Inc.,"Senior Software Engineer, Server Architecture - Efficiency",15-1252.00,Software Developers,Y,235000,,Year,182312,Year,Bellevue,WA,98004,235000,FY2024_Q4
I-200-24178-152038,Certified,,2024-07-03T00:00:00,TikTok Inc.,Software Engineer - Architecture ByteRec,15-1252.00,Software Developers,Y,254448,,Year,234062,Year,San Jose,CA,95110,254448,FY2024_Q4
I-200-24178-152046,Certified,,2024-07-03T00:00:00,TikTok Inc.,TikTok Shop - Fulfillment Node Operations Manager,13-1081.00,Logisticians,Y,165000,,Year,87568,Year,Atlanta,GA,30318,165000,FY2024_Q4
I-200-24178-152061,Certified,,2024-07-03T00:00:00,BYTEDANCE INC.,Data Scientist,15-2041.00,Statisticians,Y,225000,,Year,183206,Year,San Jose,CA,95110,225000,FY2024_Q4
I-200-24178-152087,Certified,,2024-07-03T00:00:00,TikTok Inc.,"Senior Product Designer, Platform",15-1255.00,Web and Digital Interface Designers,Y,250000,,Year,199202,Year,San Jose,CA,95110,250000,FY2024_Q4
I-200-24178-152094,Certified,,2024-07-03T00:00:00,TikTok Inc.,Data Engineer,15-2051.01,Business Intelligence Analysts,Y,235680,,Year,232690,Year,San Jose,CA,95110,235680,FY2024_Q4
I-200-24179-154740,Certified,,2024-07-05T00:00:00,TikTok Inc.,Product Manager - Ecosystem Governance&Strategy(TikTok LIVE),15-2051.01,Business Intelligence Analysts,Y,204500,,Year,170186,Year,San Jose,CA,95110,204500,FY2024_Q4
I-200-24179-156024,Certified,,2024-07-05T00:00:00,TikTok U.S. Data Security Inc.,Data Analyst USDS,15-2031.00,Operations Research Analysts,Y,215000,,Year,107619,Year,Mountain View,CA,94041,215000,FY2024_Q4
I-200-24179-156213,Certified,,2024-07-05T00:00:00,TikTok Inc.,"Frontend Engineer, TikTok Privacy",15-1252.00,Software Developers,Y,330000,,Year,234062,Year,San Jose,CA,95110,330000,FY2024_Q4
I-200-24179-156218,Certified,,2024-07-05T00:00:00,ByteDance Inc.,"Regional Incident Analysis Lead, Americas - Trust and Safety",13-1111.00,Management Analysts,Y,182000,,Year,124259,Year,San Francisco,CA,94108,182000,FY2024_Q4
I-200-24179-156254,Certified,,2024-07-05T00:00:00,BYTEDANCE INC.,"Software Engineer, Business Integrity",15-1252.00,Software Developers,Y,270680,,Year,182312,Year,Bellevue,WA,98004,270680,FY2024_Q4
I-200-24179-156376,Certified,,2024-07-05T00:00:00,BYTEDANCE INC.,"Software Engineer, Large Model System",15-1252.00,Software Developers,Y,136800,,Year,128502,Year,Bellevue,WA,98004,136800,FY2024_Q4
I-200-24179-156463,Certified,,2024-07-05T00:00:00,TikTok Inc.,Senior Product Designer,27-1014.00,Special Effects Artists and Animators,Y,210000,,Year,164050,Year,San Jose,CA,95110,210000,FY2024_Q4
I-200-24179-156472,Certified,,2024-07-05T00:00:00,TikTok U.S. Data Security Inc.,Cloud DevOps Engineer USDS,15-1252.00,Software Developers,Y,216000,,Year,184662,Year,Mountain View,CA,94041,216000,FY2024_Q4
I-200-24180-156802,Certified,,2024-07-05T00:00:00,BYTEDANCE INC.,"Backend Software Engineer, TikTok Creator Marketplace",15-1252.00,Software Developers,Y,265300,,Year,234062,Year,San Jose,CA,95110,265300,FY2024_Q4
I-200-24183-165492,Certified,,2024-07-09T00:00:00,TikTok Inc.,"iOS Software Engineer, TikTok Creator Monetization",15-1252.00,Software Developers,Y,246000,,Year,226158,Year,San Jose,CA,95110,246000,FY2024_Q4
I-200-24183-165513,Certified,,2024-07-09T00:00:00,TikTok Inc.,"Software Engineer, Recommendation Architecture",15-1252.00,Software Developers,Y,193403,,Year,172931,Year,San Jose,CA,95110,193403,FY2024_Q4
I-200-24183-165643,Certified,,2024-07-09T00:00:00,TikTok Inc.,Technical Artist - Pipeline/Tool,27-1014.00,Special Effects Artists and Animators,Y,184000,,Year,161907,Year,Los Angeles,CA,90230,184000,FY2024_Q4
I-200-24183-165898,Certified,,2024-07-09T00:00:00,BYTEDANCE INC.,"Senior Product Manager, Gen AI",15-1299.09,Information Technology Project Managers,Y,225000,,Year,173638,Year,San Francisco,CA,94108,225000,FY2024_Q4
I-200-24183-166014,Certified,,2024-07-09T00:00:00,BYTEDANCE INC.,Frontend Engineer,15-1252.00,Software Developers,Y,222680,,Year,199534,Year,San Jose,CA,95110,222680,FY2024_Q4
I-200-24183-166317,Certified,,2024-07-09T00:00:00,BYTEDANCE INC.,Data Scientist,15-2051.01,Business Intelligence Analysts,Y,232000,,Year,211536,Year,San Jose,CA,95110,232000,FY2024_Q4
I-200-24183-166342,Certified,,2024-07-09T00:00:00,BYTEDANCE INC.,Software Development Engineer in Test,15-1252.00,Software Developers,Y,260000,,Year,226158,Year,San Jose,CA,95110,260000,FY2024_Q4
I-200-24183-166364,Certified,,2024-07-09T00:00:00,BYTEDANCE INC.,Software Development Engineer in Test,15-1252.00,Software Developers,Y,200000,,Year,199534,Year,San Jose,CA,95110,200000,FY2024_Q4
I-200-24184-166481,Certified,,2024-07-09T00:00:00,TikTok Inc.,Software Engineer,15-1252.00,Software Developers,Y,298000,,Year,190486,Year,Bellevue,WA,98004,298000,FY2024_Q4
I-200-24184-168221,Certified,,2024-07-10T00:00:00,TikTok Inc.,TikTok Shop - Logistics Product Manager,15-1299.09,Information Technology Project Managers,Y,350000,,Year,165610,Year,Bellevue,WA,98004,350000,FY2024_Q4
I-200-24184-168502,Certified,,2024-07-10T00:00:00,ByteDance Inc.,Research Scientist,15-2051.00,Data Scientists,Y,295000,,Year,118414,Year,Bellevue,WA,98004,295000,FY2024_Q4
I-200-24184-168777,Certified,,2024-07-10T00:00:00,TikTok Inc.,"Android Software Engineer, TikTok Privacy",15-1252.00,Software Developers,Y,200000,,Year,190486,Year,Bellevue,WA,98004,200000,FY2024_Q4
I-200-24184-169250,Certified,,2024-07-10T00:00:00,BYTEDANCE INC.,Senior Lifecycle Marketing Manager,11-2021.00,Marketing Managers,Y,160000,,Year,145184,Year,San Jose,CA,95110,160000,FY2024_Q4
I-200-24184-169401,Certified,,2024-07-10T00:00:00,BYTEDANCE INC.,"Software Engineer, Ads Measurement",15-1252.00,Software Developers,Y,260040,,Year,190486,Year,Bellevue,WA,98004,260040,FY2024_Q4
I-200-24184-169405,Certified,,2024-07-10T00:00:00,BYTEDANCE INC.,Senior Machine Learning Engineer,15-1252.00,Software Developers,Y,295000,,Year,190486,Year,Bellevue,WA,98004,295000,FY2024_Q4
I-200-24184-169486,Certified,,2024-07-10T00:00:00,BYTEDANCE INC.,Product Manager,15-1299.09,Information Technology Project Managers,Y,227680,,Year,201323,Year,San Jose,CA,95110,227680,FY2024_Q4
I-200-24184-169772,Certified,,2024-07-10T00:00:00,BYTEDANCE INC.,"Sr. Backend Software Engr., Global E-Commerce Funding Center",15-1252.00,Software Developers,Y,300000,,Year,226158,Year,San Jose,CA,95110,300000,FY2024_Q4
I-200-24185-171952,Certified,,2024-07-11T00:00:00,TikTok Inc.,"Process Engineering & Design, Supply Chain & Logistics",13-1081.01,Logistics Engineers,Y,290000,,Year,115211,Year,Bellevue,WA,98004,290000,FY2024_Q4
I-200-24185-174320,Certified,,2024-07-11T00:00:00,BYTEDANCE INC.,"Product Manager, Security Engineering",15-1299.09,Information Technology Project Managers,Y,166000,,Year,132579,Year,San Jose,CA,95110,166000,FY2024_Q4
I-200-24185-174571,Withdrawn,,2024-07-03T00:00:00,TikTok U.S. Data Security Inc.,DevOps Engineer,15-1252.00,Software Developers,Y,200000,,Year,179982,Year,New York,NY,10036,,FY2024_Q4
I-200-24185-174736,Certified - Withdrawn,,2024-09-18T00:00:00,TikTok U.S. Data Security Inc.,DevOps Engineer,15-1252.00,Software Developers,Y,200000,,Year,151819,Year,New York,NY,10036,200000,FY2024_Q4
I-200-24185-174865,Certified,,2024-07-11T00:00:00,BYTEDANCE INC.,"Data Scientist, Operations - Trust & Safety",15-2041.00,Statisticians,Y,212000,,Year,188157,Year,San Jose,CA,95110,212000,FY2024_Q4
I-200-24185-175067,Certified,,2024-07-11T00:00:00,BYTEDANCE INC.,Visual Designer,27-1014.00,Special Effects Artists and Animators,Y,196100,,Year,176717,Year,San Jose,CA,95110,196100,FY2024_Q4
I-200-24185-175091,Certified,,2024-07-11T00:00:00,BYTEDANCE INC.,Data Scientist,15-2051.00,Data Scientists,Y,144000,,Year,141170,Year,New York,NY,10036,144000,FY2024_Q4
I-200-24185-175120,Certified,,2024-07-11T00:00:00,BYTEDANCE INC.,Sr Backend Engr – Global E-Commerce – Merchandise Operations,15-1252.00,Software Developers,Y,262000,,Year,190486,Year,Bellevue,WA,98004,262000,FY2024_Q4
I-200-24185-175127,Certified,,2024-07-11T00:00:00,BYTEDANCE INC.,Software Engineer - Site Reliability Engineer,15-1252.00,Software Developers,Y,155680,,Year,146307,Year,San Jose,CA,95110,155680,FY2024_Q4
I-200-24186-175157,Certified,,2024-07-11T00:00:00,TikTok Inc.,Senior Data Scientist - TikTok Privacy,15-2051.00,Data Scientists,Y,258222,,Year,211536,Year,San Jose,CA,95110,258222,FY2024_Q4
I-200-24186-175347,Withdrawn,,2024-07-03T00:00:00,TikTok U.S. Data Security Inc.,Data Engineer - USDS,15-1252.00,Software Developers,Y,200000,,Year,199534,Year,Mountain View,CA,94041,,FY2024_Q4
I-200-24186-175358,Certified,,2024-07-11T00:00:00,TikTok U.S. Data Security Inc.,Data Engineer - USDS,15-1252.00,Software Developers,Y,200000,,Year,199534,Year,Mountain View,CA,94041,200000,FY2024_Q4
I-200-24190-179653,Certified,,2024-07-15T00:00:00,TikTok Inc.,TikTok Shop- Data Scientist,15-2051.00,Data Scientists,Y,214000,,Year,85821,Year,Bellevue,WA,98004,214000,FY2024_Q4
I-200-24190-179704,Certified,,2024-07-15T00:00:00,TikTok Inc.,Data Scientist,15-2051.00,Data Scientists,Y,135124,,Year,117291,Year,San Jose,CA,95110,135124,FY2024_Q4
I-200-24190-180553,Certified,,2024-07-15T00:00:00,BYTEDANCE INC.,Research Scientist,15-1221.00,Computer and Information Research Scientists,Y,217491,,Year,211058,Year,Bellevue,WA,98004,217491,FY2024_Q4
I-200-24190-181071,Certified,,2024-07-15T00:00:00,TikTok Inc.,"Software Engineer, TikTok Android",15-1252.00,Software Developers,Y,180000,,Year,172931,Year,San Jose,CA,95110,180000,FY2024_Q4
I-200-24190-181349,Certified,,2024-07-15T00:00:00,BYTEDANCE INC.,Solutions Architect - Global E-Comm. - Enterprise Solutions,15-1252.00,Software Developers,Y,305546,,Year,226158,Year,San Jose,CA,95110,305546,FY2024_Q4
I-200-24190-181363,Certified,,2024-07-15T00:00:00,BYTEDANCE INC.,Software Engineer Intern - AR Effect Platform,27-1014.00,Special Effects Artists and Animators,Y,178000,,Year,176717,Year,San Jose,CA,95110,178000,FY2024_Q4
I-200-24190-181378,Certified,,2024-07-15T00:00:00,BYTEDANCE INC.,Researcher/Engineer in Computer Vision,15-1221.00,Computer and Information Research Scientists,Y,361178,,Year,257421,Year,San Jose,CA,95110,361178,FY2024_Q4
I-200-24191-182984,Certified,,2024-07-16T00:00:00,TikTok U.S. Data Security Inc.,Data Engineer - Global Payments USDS,15-1243.00,Database Architects,Y,240000,,Year,126360,Year,New York,NY,10036,240000,FY2024_Q4
I-200-24191-184849,Certified,,2024-07-16T00:00:00,TikTok Inc.,"TikTok Shop  - Logistics Product Manager, TMS",13-1082.00,Project Management Specialists,Y,230000,,Year,146994,Year,Bellevue,WA,98004,230000,FY2024_Q4
I-200-24191-184879,Certified,,2024-07-16T00:00:00,BYTEDANCE INC.,Software Engineer,15-1252.00,Software Developers,Y,294374,,Year,176134,Year,Culver City,CA,90230,294374,FY2024_Q4
I-200-24192-186757,Certified,,2024-07-17T00:00:00,ByteDance Inc.,Product Manager- Creative,15-1299.09,Information Technology Project Managers,Y,350000,,Year,121514,Year,New York,NY,10036,350000,FY2024_Q4
I-200-24192-187250,Certified,,2024-07-17T00:00:00,TikTok Inc.,Senior Prod. Strategy & Ops Lead - TikTok Shop Data Prod.,11-2021.00,Marketing Managers,Y,205580,,Year,178485,Year,Bellevue,WA,98004,205580,FY2024_Q4
I-200-24193-188120,Certified,,2024-07-17T00:00:00,BYTEDANCE INC.,Head of Music Promotion & Distribution - NA.ANZ,15-2051.01,Business Intelligence Analysts,Y,206800,,Year,151694,Year,Culver City,CA,90230,206800,FY2024_Q4
I-200-24193-188145,Certified,,2024-07-17T00:00:00,TikTok Inc.,"Engineering Lead, TikTok User Growth-Traffic Matrix",15-1252.00,Software Developers,Y,510000,,Year,190486,Year,Bellevue,WA,98004,510000,FY2024_Q4
I-200-24193-188154,Certified,,2024-07-17T00:00:00,TikTok Inc.,Senior Machine Learning Engineer,15-1252.00,Software Developers,Y,282720,,Year,226158,Year,Mountain View,CA,94041,282720,FY2024_Q4
I-200-24193-189316,Certified,,2024-07-18T00:00:00,ByteDance Inc.,Performance Marketing Manager,13-1161.00,Market Research Analysts and Marketing Specialists,Y,184680,,Year,105893,Year,San Jose,CA,95110,184680,FY2024_Q4
I-200-24193-189490,Certified,,2024-07-18T00:00:00,ByteDance Inc.,Software Engineer,15-1252.00,Software Developers,Y,290000,,Year,172931,Year,San Jose,CA,95110,290000,FY2024_Q4
I-200-24193-189580,Certified,,2024-07-18T00:00:00,TikTok U.S. Data Security Inc.,Machine Learning Engineer,15-2051.00,Data Scientists,Y,300000,,Year,180128,Year,Mountain View,CA,94041,300000,FY2024_Q4
I-200-24193-190096,Certified,,2024-07-18T00:00:00,TikTok Inc.,TikTok Shop - US Data Analyst – Logistics,15-2051.00,Data Scientists,Y,211500,,Year,183581,Year,Bellevue,WA,98004,211500,FY2024_Q4
I-200-24193-191463,Certified,,2024-07-18T00:00:00,BYTEDANCE INC.,Senior Software Engineer - Database NoSQL Redis,15-1299.09,Information Technology Project Managers,Y,280000,,Year,201323,Year,San Jose,CA,95110,280000,FY2024_Q4
I-200-24193-191478,Certified,,2024-07-18T00:00:00,BYTEDANCE INC.,"Senior Product Manager,  Transaction Platform",11-3021.00,Computer and Information Systems Managers,Y,265000,,Year,251576,Year,Bellevue,WA,98004,265000,FY2024_Q4
I-200-24193-191485,Certified,,2024-07-18T00:00:00,BYTEDANCE INC.,Software Engineer,15-1252.00,Software Developers,Y,249000,,Year,226158,Year,San Jose,CA,95110,249000,FY2024_Q4
