caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-23333-529545,Certified - Withdrawn,,2024-07-03T00:00:00,"DiDi Research America, LLC ",Data Scientist II,15-2051.00,Data Scientists,Y,132960,194454,Year,107682,Year,Mountain View,CA,94043,132960,FY2024_Q4
I-200-23333-530280,Certified - Withdrawn,,2024-08-14T00:00:00,"DiDi Research America, LLC ",Software Engineer II,15-1252.00,Software Developers,Y,136000,194454,Year,135283,Year,Mountain View,CA,94043,136000,FY2024_Q4
I-200-23338-542462,Certified - Withdrawn,,2024-07-09T00:00:00,"DiDi USA, Inc.",Recruiting Manager,13-1071.00,Human Resources Specialists,Y,91200,133380,Year,86528,Year,Mountain View,CA,94043,91200,FY2024_Q4
I-200-24136-997485,Certified - Withdrawn,,2024-09-18T00:00:00,"DiDi Research America, LLC ",Senior Software Engineer,15-1252.00,Software Developers,Y,184662,233365,Year,147368,Year,Fremont,CA,94539,184662,FY2024_Q4
I-200-24178-149644,Certified,,2024-07-03T00:00:00,"DiDi Research America, LLC ",Staff Software Engineer,15-1252.00,Software Developers,Y,234062,312930,Year,181272,Year,Fremont,CA,94539,234062,FY2024_Q4
I-200-24200-206418,Certified,,2024-07-25T00:00:00,"DiDi Research America, LLC ",Senior Software Engineer,17-2199.08,Robotics Engineers,Y,168480,233365,Year,153254,Year,Mountain View,CA,94043,168480,FY2024_Q4
I-200-24221-255318,Certified,,2024-08-15T00:00:00,"DiDi Research America, LLC ",Software Engineer I,17-2199.08,Robotics Engineers,Y,100069,142406,Year,100069,Year,Mountain View,CA,94043,100069,FY2024_Q4
I-200-24227-268685,Certified,,2024-08-21T00:00:00,Didi USA Inc.,Recruiting Manager,13-1071.00,Human Resources Specialists,Y,130000,150000,Year,91437,Year,Mountain View,CA,94043,130000,FY2024_Q4
I-200-23124-993205,Certified - Withdrawn,,2024-10-03T00:00:00,"DIDI RESEARCH AMERICA, LLC",Software Engineer I,17-2199.08,Robotics Engineers,Y,130000,150000,Year,91312,Year,Mountain View,CA,94043,130000,FY2025_Q1
I-200-24271-369729,Certified,,2024-10-04T00:00:00,"DiDi Research America, LLC ",Autonomy System Engineer II,19-2012.00,Physicists,Y,156083,180000,Year,156083,Year,Mountain View,CA,94043,156083,FY2025_Q1
I-200-24271-370579,Certified,,2024-10-04T00:00:00,"DiDi Research America, LLC",Staff Software Engineer,17-2199.08,Robotics Engineers,Y,188229,275284,Year,153254,Year,Mountain View,CA,94043,188229,FY2025_Q1
I-200-24297-426436,Certified,,2024-10-30T00:00:00,"DiDi Research America, LLC",Senior Software Engineer,17-2199.08,Robotics Engineers,Y,168480,233365,Year,153254,Year,Mountain View,CA,94043,168480,FY2025_Q1
I-200-24316-466901,Certified,,2024-11-18T00:00:00,"DiDi Research America, LLC",Software Engineer,17-2199.08,Robotics Engineers,Y,134077,194454,Year,134077,Year,Fremont,CA,94539,134077,FY2025_Q1
I-200-24326-491248,Certified,,2024-11-29T00:00:00,"DiDi Research America, LLC",Senior Software Engineer,15-1221.00,Computer and Information Research Scientists,Y,191922,233365,Year,179837,Year,Fremont,CA,94539,191922,FY2025_Q1
