caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24194-194594,Certified,,2024-07-19T00:00:00,Gotion Illinois New Energy Inc.,Staff Equipment Engineer,17-2141.00,Mechanical Engineers,Y,175000,,Year,95742,Year,Manteno,IL,60950,175000,FY2024_Q4
I-200-24194-194654,Certified,,2024-07-19T00:00:00,Gotion Illinois New Energy Inc.,Equipment Engineer,17-2041.00,Chemical Engineers,Y,115000,,Year,110926,Year,Manteno,IL,60950,115000,FY2024_Q4
I-200-24205-216528,Certified,,2024-07-30T00:00:00,Gotion Illinois New Energy Inc.,Sr. Controls Engineer,17-2199.05,Mechatronics Engineers,Y,130000,,Year,111696,Year,Manteno,IL,60950,130000,FY2024_Q4
I-200-24211-230127,Certified,,2024-08-05T00:00:00,Gotion Illinois New Energy Inc.,Sr. Controls Engineer,17-2199.05,Mechatronics Engineers,Y,130000,,Year,111696,Year,Manteno,IL,60950,130000,FY2024_Q4
I-200-24240-298421,Certified,,2024-09-04T00:00:00,"Gotion, Inc. ",Senior Electrical Engineer (ESS),17-2071.00,Electrical Engineers,Y,155000,,Year,150259,Year,Fremont,CA,94538,155000,FY2024_Q4
I-200-24250-318824,Certified,,2024-09-12T00:00:00,Gotion Illinois New Energy Inc.,Staff Mechanical Engineer EV,17-2141.00,Mechanical Engineers,Y,130000,,Year,95742,Year,Manteno,IL,60950,130000,FY2024_Q4
I-200-24262-346657,Certified,,2024-09-25T00:00:00,"Gotion, Inc. ",Human Resources Business Partner,11-3121.00,Human Resources Managers,Y,135000,,Year,126610,Year,Fremont,CA,94538,135000,FY2024_Q4
I-200-24276-381463,Certified,,2024-10-09T00:00:00,Gotion Illinois New Energy Inc.,Staff Process Engineer,17-2141.00,Mechanical Engineers,Y,145000,,Year,95742,Year,Manteno,IL,60950,145000,FY2025_Q1
I-200-24282-394094,Certified,,2024-10-16T00:00:00,Gotion Illinois New Energy Inc.,Staff Equipment Engineer,17-2141.00,Mechanical Engineers,Y,150000,,Year,95742,Year,Manteno,IL,60950,150000,FY2025_Q1
I-200-24284-399447,Certified,,2024-10-18T00:00:00,Gotion Illinois New Energy Inc.,Process Engineer,17-2141.00,Mechanical Engineers,Y,115000,,Year,95742,Year,Manteno,IL,60950,115000,FY2025_Q1
I-200-24299-434575,Certified,,2024-11-01T00:00:00,"Gotion, Inc. ",Senior Battery Cell Engineer,17-2131.00,Materials Engineers,Y,115000,,Year,113131,Year,Independence,OH,44131,115000,FY2025_Q1
I-200-24345-529498,Certified,,2024-12-16T00:00:00,Gotion Illinois New Energy Inc.,Logistics Specialist,13-1081.00,Logisticians,Y,85000,,Year,77730,Year,Manteno,IL,60950,85000,FY2025_Q1
I-200-25015-621596,Certified,,2025-01-23T00:00:00,Gotion Illinois New Energy Inc.,MES Engineer,17-2199.05,Mechatronics Engineers,Y,76000,,Year,69514,Year,Manteno,IL,60950,76000,FY2025_Q2
