caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24302-435908,Certified,,2024-11-04T00:00:00,Cognosphere LLC,Senior Engine Developer,15-1252.00,Software Developers,Y,177000,300000,Year,176134,Year,Santa Monica,CA,90404,177000,FY2025_Q1
I-200-25097-836252,Certified,,2025-04-14T00:00:00,"Cognosphere, LLC",Researcher,15-1221.00,Computer and Information Research Scientists,Y,480000,,Year,197142,Year,Santa Monica,CA,90404,480000,FY2025_Q3
I-200-25104-861261,Certified,,2025-04-21T00:00:00,"COGNOSPHERE, LLC",PROJECT MANAGEMENT SPECIALIST,13-1082.00,Project Management Specialists,Y,130853,140000,Year,130853,Year,IRVINE,CA,92612,130853,FY2025_Q3
I-200-25202-188821,Certified,,2025-07-28T00:00:00,"COGNOSPHERE, LLC",LIVE OPERATION SPECIALIST,15-1251.00,Computer Programmers,Y,99600,,Year,83637,Year,PASADENA,CA,91101,99600,FY2025_Q4
I-200-25261-316952,Certified,,2025-09-24T00:00:00,"COGNOSPHERE, LLC",SENIOR ENGINE DEVELOPER,15-1252.00,Software Developers,Y,249520,319520,Year,184558,Year,HAWTHORNE,CA,90250,249520,FY2025_Q4
I-200-26050-652664,Certified,,2026-02-26T00:00:00,"Cognosphere, LLC",Applied Scientist,15-1221.00,Computer and Information Research Scientists,Y,276000,,Year,184018,Year,Irvine,CA,92618,276000,FY2026_Q3
I-200-26050-652681,Certified,,2026-02-26T00:00:00,"Cognosphere, LLC",Applied Scientist,15-1221.00,Computer and Information Research Scientists,Y,288000,,Year,184018,Year,Irvine,CA,92618,288000,FY2026_Q3
I-200-26092-749520,Certified,,2026-04-08T00:00:00,"COGNOSPHERE, LLC",SENIOR USER RESEARCHER,13-1161.01,Search Marketing Strategists,Y,145000,,Year,113256,Year,IRVINE,CA,92618,145000,FY2026_Q3
I-200-26110-812297,Certified,,2026-04-27T00:00:00,"Cognosphere, LLC",Researcher,15-1221.00,Computer and Information Research Scientists,Y,480000,,Year,119870,Year,Irvine,CA,92618,480000,FY2026_Q3
I-200-26110-812301,Certified,,2026-04-27T00:00:00,"Cognosphere, LLC",Operation Data Analyst,15-2031.00,Operations Research Analysts,Y,157800,,Year,82701,Year,Johns Creek,GA,30097,157800,FY2026_Q3
I-200-26114-831486,Certified,,2026-05-01T00:00:00,"Cognosphere, LLC",Video Generation Researcher,15-1221.00,Computer and Information Research Scientists,Y,384000,,Year,237786,Year,Mountain View,CA,94040,384000,FY2026_Q3
I-200-26125-870492,Certified,,2026-05-12T00:00:00,"Cognosphere, LLC",Animation Researcher,15-1221.00,Computer and Information Research Scientists,Y,252000,,Year,164403,Year,Sunnyvale,CA,94087,252000,FY2026_Q3
I-200-26125-871300,Certified,,2026-05-12T00:00:00,"Cognosphere, LLC",Video Generation Researcher,15-1221.00,Computer and Information Research Scientists,Y,384000,,Year,164403,Year,Mountain View,CA,94040,384000,FY2026_Q3
