caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-25267-331358,Certified,,2025-10-01T00:00:00,"Netflix, Inc.",Software Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
I-200-25269-336451,Certified,,2025-11-05T00:00:00,"Netflix, Inc.",Software Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
I-200-25269-336472,Certified,,2025-11-05T00:00:00,"Netflix, Inc.",Software Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
I-200-25272-342699,Certified,,2025-11-06T00:00:00,"Netflix, Inc.",Software Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
I-200-25273-348617,Certified,,2025-11-07T00:00:00,"Netflix, Inc.",Software Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
I-200-25273-348645,Certified,,2025-11-07T00:00:00,"Netflix, Inc.",Data Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
I-200-25273-348695,Certified,,2025-11-07T00:00:00,"Netflix, Inc.","Manager, iOS UI Foundations",11-3021.00,Computer and Information Systems Managers,Y,388918,,Year,388918,Year,Los Gatos,CA,95032,388918,FY2026_Q3
I-200-25273-348776,Certified,,2025-11-07T00:00:00,"Netflix, Inc.",Software Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
I-200-25273-349764,Certified,,2025-11-07T00:00:00,"Netflix, Inc.",Analytics Engineer,15-2051.00,Data Scientists,Y,275850,,Year,275850,Year,Los Gatos,CA,95032,275850,FY2026_Q3
I-200-25304-353671,Certified,,2025-11-07T00:00:00,"Netflix, Inc.",Analytics Engineer,15-2051.00,Data Scientists,Y,275850,,Year,275850,Year,Los Gatos,CA,95032,275850,FY2026_Q3
I-200-25304-353910,Certified,,2025-11-07T00:00:00,"Netflix, Inc.","Senior Analyst, Tax Transformation",13-2011.00,Accountants and Auditors,Y,152152,,Year,152152,Year,Los Gatos,CA,95032,152152,FY2026_Q3
I-200-25304-353913,Certified,,2025-11-07T00:00:00,"Netflix, Inc.",Analytics Engineer,15-2051.00,Data Scientists,Y,275850,,Year,275850,Year,Los Gatos,CA,95032,275850,FY2026_Q3
I-200-25304-353922,Certified,,2025-11-07T00:00:00,"Netflix, Inc.",Data Engineer,15-1252.00,Software Developers,Y,264514,,Year,264514,Year,Los Gatos,CA,95032,264514,FY2026_Q3
