questionnaireId,instructions,questionId,order,question,required,type,answers
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025cc59a1980000,a,"Are you currently working for Netflix as a contractor? (e.g. independent, vendor, or temporary worker)",true,Multiple Choice - Single Select,Yes; No
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025ce273fdb0001,b,Have you worked for Netflix or any of Netflix's subsidiaries in the past?,true,Multiple Choice - Single Select,Yes; No
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025cec182990001,b.a,Which subsidiary?,true,Multiple Choice - Single Select,Netflix; DVD; Animation; Netflix House; Eyeline
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025cff561730002,b.a.a,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025d1c35f7f0000,b.a.b,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025d25d5f5e0002,b.a.c,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025d3912c0d0000,b.a.d,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025d4c4eec60001,b.a.e,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
4b15c3bdb7e910020025cb25a5d60000,,4b15c3bdb7e910020025d5f88fe70001,c,Do you require sponsorship to legally work in the job location?,true,Multiple Choice - Single Select,Yes; No
9a7a8705901e1001f30e535431110000,,9a7a8705901e1001f30e535431110001,a,"Are you currently working for Netflix as a contractor? (e.g. independent, vendor, or temporary worker)",true,Multiple Choice - Single Select,Yes; No
9a7a8705901e1001f30e535431110000,,9a7a8705901e1001f30e53ee229e0001,b,Have you worked for Netflix or any of Netflix's subsidiaries in the past?,true,Multiple Choice - Single Select,Yes; No
9a7a8705901e1001f30e535431110000,,9a7a8705901e1001f30e53ee229e0004,b.a,Which subsidiary?,true,Multiple Choice - Single Select,Netflix; DVD; Animation
9a7a8705901e1001f30e535431110000,,9a7a8705901e1001f30e548857800000,b.a.a,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
9a7a8705901e1001f30e535431110000,,9a7a8705901e1001f30e548857800004,b.a.b,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
9a7a8705901e1001f30e535431110000,,9a7a8705901e1001f30e548857800008,b.a.c,What type of employee were you?,true,Multiple Choice - Single Select,Full Time Employee; Contractor; Intern
9a7a8705901e1001f30e535431110000,,9a7a8705901e1001f30e552235890001,c,Do you require sponsorship to legally work in the job location?,true,Multiple Choice - Single Select,Yes; No
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6ace96780001,a,What major / area of study are you pursuing?,true,Multiple Choice - Single Select,Business; Communications; Computer Science; Data Analytics; Data Science; Economics; Electrical Engineering; Graphic Design; Human Centered Design/Interaction; Information Systems; Journalism; Marketing; Mathematics; Motion Graphics; Operations Research/Management; Product Design; Statistics; Visual Effects; Other
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6c9bc1970005,a.s,"If Other, please type the major/area of study ?",true,Text,
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6c9bc1970006,b,"If applicable, please provide a link to relevant work samples (e.g. GitHub, CodePen, Dribbble, Behance, etc.)",false,Text,
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6d35865b0000,c,What is your anticipated graduation month?,true,Multiple Choice - Single Select,January; February; March; April; May; June; July; August; September; October; November; December
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6dcf53420005,d,What is your anticipated graduation year?,true,Multiple Choice - Single Select,2024; 2025; 2026; 2027; 2028; 2029; 2030
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6e6933250005,e,Are you legally authorized to work in the United States for the duration of the summer internship?,true,Multiple Choice - Single Select,Yes; No
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6f02dc360000,f,Will you now or in the future require Visa sponsorship for employment in the United States (e.g. H-1B)?,true,Multiple Choice - Single Select,Yes; No
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e6f02dc360003,g,How did you find out about this opportunity?,true,Multiple Choice - Single Select,Academic Advisor; Afrotech; Black in AI; CAHSI; ColorStack; CVPR; Digital Nest; Edlyft; Formation; Handshake; ICML; Latinas in Tech; LinkedIn; MLT; Netflix Career Site; Netflix Contacted Me; NeurIPS; NSBE; Other; Other Conference Not Listed; Out in Tech; Queer in AI; Referral; Rewriting the Code; SHPE
9a7a8705901e1001f30e6ace96780000,,9a7a8705901e1001f30e716a64c90004,g.u,"If other, please type how you heard about the opportunity?",true,Text,
