caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24268-361883,Certified,,2024-10-01T00:00:00,NVIDIA Corporation,Senior Verification Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,178006,201250,Year,178006,Year,Santa Clara,CA,95051,178006,FY2025_Q1
I-200-24268-361930,Certified,,2024-10-01T00:00:00,NVIDIA Corporation,Senior Architect,15-1299.08,Computer Systems Engineers/Architects,Y,180000,276000,Year,136989,Year,Buda,TX,78610,180000,FY2025_Q1
I-200-24268-361971,Certified,,2024-10-01T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,148000,230000,Year,127504,Year,Ball Ground,GA,30107,148000,FY2025_Q1
I-200-24269-362116,Certified,,2024-10-01T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,180000,276000,Year,179982,Year,Brooklyn,NY,11201,180000,FY2025_Q1
I-200-24269-362127,Certified,,2024-10-01T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,190486,276000,Year,190486,Year,Seattle,WA,98105,190486,FY2025_Q1
I-200-24269-365205,Certified,,2024-10-02T00:00:00,NVIDIA Corporation,Engineer Senior Systems Software,15-1252.00,Software Developers,Y,190486,276000,Year,190486,Year,Bothell,WA,98012,190486,FY2025_Q1
I-200-24270-365589,Certified,,2024-10-02T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,190486,276000,Year,190486,Year,Seattle,WA,98105,190486,FY2025_Q1
I-200-24270-368723,Certified,,2024-10-03T00:00:00,NVIDIA Corporation,Verification Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,204901,258750,Year,204901,Year,Santa Clara,CA,95051,204901,FY2025_Q1
I-200-24270-368743,Certified,,2024-10-03T00:00:00,NVIDIA Corporation,Verification Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,204901,258750,Year,204901,Year,Santa Clara,CA,95051,204901,FY2025_Q1
I-200-24270-368756,Certified,,2024-10-03T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,N,180000,276000,Year,158309,Year,Portland,OR,97229,,FY2025_Q1
I-200-24270-368774,Certified,,2024-10-03T00:00:00,NVIDIA Corporation,Principal Technical Program Manager,11-9041.00,Architectural and Engineering Managers,Y,224000,356500,Year,214365,Year,Lynnwood,WA,98036,224000,FY2025_Q1
I-200-24270-368815,Certified,,2024-10-03T00:00:00,NVIDIA Corporation,Verification Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,196000,304750,Year,150883,Year,Durham,NC,27713,196000,FY2025_Q1
I-200-24272-372129,Certified,,2024-10-04T00:00:00,NVIDIA Corporation,Senior ASIC Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,164000,258750,Year,156437,Year,Somerset,NJ,08873,164000,FY2025_Q1
I-200-24272-372162,Certified,,2024-10-04T00:00:00,NVIDIA Corporation,Engineer Senior Mask Design,17-2072.00,"Electronics Engineers, Except Computer",Y,154565,195500,Year,154565,Year,Libertyhill,TX,78642,154565,FY2025_Q1
I-200-24274-373852,Certified,,2024-10-07T00:00:00,NVIDIA Corporation,Sales Engineer,41-9031.00,Sales Engineers,Y,200304,276000,Year,200304,Year,Santa Clara,CA,95051,200304,FY2025_Q1
I-200-24275-378626,Certified,,2024-10-08T00:00:00,NVIDIA Corporation,Senior ASIC Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,164000,258750,Year,156437,Year,Somerset,NJ,08873,164000,FY2025_Q1
I-200-24275-378796,Certified,,2024-10-08T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,199534,230000,Year,199534,Year,Santa Clara,CA,95051,199534,FY2025_Q1
I-200-24275-378821,Certified,,2024-10-08T00:00:00,NVIDIA Corporation,Senior Architect,15-1299.08,Computer Systems Engineers/Architects,Y,201323,276000,Year,201323,Year,Santa Clara,CA,95051,201323,FY2025_Q1
I-200-24276-378852,Certified,,2024-10-08T00:00:00,NVIDIA Corporation,Architect,17-2072.00,"Electronics Engineers, Except Computer",Y,123490,184000,Year,123490,Year,Peoria,AZ,85383,123490,FY2025_Q1
I-200-24276-378858,Certified,,2024-10-08T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,226158,339250,Year,226158,Year,Santa Clara,CA,95051,226158,FY2025_Q1
I-200-24276-381692,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Senior Digital Design Verification Engineer,17-2072.00,"Electronics Engineers, Except Computer",Y,204901,258750,Year,204901,Year,Santa Clara,CA,95051,204901,FY2025_Q1
I-200-24277-381771,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,199534,230000,Year,199534,Year,Santa Clara,CA,95051,199534,FY2025_Q1
I-200-24277-381774,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,190486,276000,Year,190486,Year,Seattle,WA,98105,190486,FY2025_Q1
I-200-24277-381785,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,190486,276000,Year,190486,Year,Seattle,WA,98105,190486,FY2025_Q1
I-200-24277-381788,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,"Hardware Engineer, Electronics",17-2072.00,"Electronics Engineers, Except Computer",Y,151091,178250,Year,151091,Year,Santa Clara,CA,95051,151091,FY2025_Q1
I-200-24277-381798,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,"Hardware Engineer, Electronics",17-2072.00,"Electronics Engineers, Except Computer",Y,195538,258750,Year,195538,Year,Santa Clara,CA,95051,195538,FY2025_Q1
I-200-24277-381801,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,179689,230000,Year,179689,Year,Santa Clara,CA,95051,179689,FY2025_Q1
I-200-24277-381805,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Analyst Business Intelligence,15-1211.00,Computer Systems Analysts,Y,106704,138000,Year,106704,Year,Santa Clara,CA,95051,106704,FY2025_Q1
I-200-24277-381807,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Data Scientist,15-2051.00,Data Scientists,Y,179624,230000,Year,179624,Year,Santa Clara,CA,95051,179624,FY2025_Q1
I-200-24277-381809,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,211371,276000,Year,211371,Year,Santa Clara,CA,95051,211371,FY2025_Q1
I-200-24277-381812,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Senior Software Engineer,15-1252.00,Software Developers,Y,211371,276000,Year,211371,Year,Santa Clara,CA,95051,211371,FY2025_Q1
I-200-24277-381815,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,"Hardware Engineer, Electronics",17-2072.00,"Electronics Engineers, Except Computer",Y,135880,178250,Year,135880,Year,Santa Clara,CA,95051,135880,FY2025_Q1
I-200-24277-381820,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,108000,178250,Year,85384,Year,Austin,TX,78717,108000,FY2025_Q1
I-200-24277-381825,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,180000,276000,Year,179982,Year,Brooklyn,NY,11201,180000,FY2025_Q1
I-200-24277-381826,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Senior Architect,15-1299.08,Computer Systems Engineers/Architects,Y,201323,276000,Year,201323,Year,Santa Clara,CA,95051,201323,FY2025_Q1
I-200-24277-381833,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Engineer Senior Systems Software,15-1252.00,Software Developers,Y,180000,276000,Year,149947,Year,Katy,TX,77494,180000,FY2025_Q1
I-200-24277-381838,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,226158,339250,Year,226158,Year,Santa Clara,CA,95051,226158,FY2025_Q1
I-200-24277-381839,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Principal Program Manager,11-3021.00,Computer and Information Systems Managers,Y,224000,356500,Year,185182,Year,Saint Johns,FL,32259,224000,FY2025_Q1
I-200-24277-381845,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Research Scientist,15-1221.00,Computer and Information Research Scientists,Y,257421,345000,Year,257421,Year,Santa Clara,CA,95051,257421,FY2025_Q1
I-200-24277-381850,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Engineer Senior ASIC,17-2072.00,"Electronics Engineers, Except Computer",Y,196000,304750,Year,136323,Year,Westford,MA,01886,196000,FY2025_Q1
I-200-24277-381971,Certified,,2024-10-09T00:00:00,NVIDIA Corporation,Software Engineer,15-1252.00,Software Developers,Y,158309,230000,Year,158309,Year,Camas,WA,98607,158309,FY2025_Q1
