caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24185-172681,Certified,,2024-07-11T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff,15-1252.00,Software Developers,Y,245000,,Year,155605,Year,San Francisco,CA,94110,245000,FY2024_Q4
I-200-24194-193371,Certified,,2024-07-19T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (SWE),15-1252.00,Software Developers,Y,310000,,Year,123656,Year,New York,NY,10003,310000,FY2024_Q4
I-200-24195-194700,Certified,,2024-07-19T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research & AI Systems),15-1221.00,Computer and Information Research Scientists,Y,440000,,Year,179837,Year,San Francisco,CA,94110,440000,FY2024_Q4
I-200-24197-196056,Certified,,2024-07-22T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research & AI Systems),15-1221.00,Computer and Information Research Scientists,Y,295000,,Year,179837,Year,San Francisco,CA,94110,295000,FY2024_Q4
I-200-24197-197833,Certified,,2024-07-22T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research & AI Systems),15-1221.00,Computer and Information Research Scientists,Y,360000,,Year,179837,Year,San Francisco,CA,94110,360000,FY2024_Q4
I-200-24205-217073,Certified,,2024-07-30T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (SWE),15-1252.00,Software Developers,Y,310000,,Year,137259,Year,Bellevue,WA,98004,310000,FY2024_Q4
I-200-24205-217167,Certified,,2024-07-30T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff,15-1212.00,Information Security Analysts,Y,465000,,Year,130208,Year,San Francisco,CA,94110,465000,FY2024_Q4
I-200-24206-220387,Certified,,2024-07-31T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research & AI Systems),15-1221.00,Computer and Information Research Scientists,Y,360000,,Year,179837,Year,San Francisco,CA,94110,360000,FY2024_Q4
I-200-24212-233267,Certified,,2024-08-06T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research & AI Systems),15-1221.00,Computer and Information Research Scientists,Y,360000,,Year,179837,Year,San Francisco,CA,94110,360000,FY2024_Q4
I-200-24219-248649,Certified,,2024-08-13T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research & AI Systems),15-1221.00,Computer and Information Research Scientists,Y,530000,,Year,179837,Year,San Francisco,CA,94110,530000,FY2024_Q4
I-200-24220-251517,Certified,,2024-08-14T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research & AI Systems),15-1221.00,Computer and Information Research Scientists,Y,530000,,Year,179837,Year,San Francisco,CA,94110,530000,FY2024_Q4
I-200-24227-268748,Certified,,2024-08-21T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff (Research Engineer),15-1221.00,Computer and Information Research Scientists,Y,530000,,Year,243027,Year,San Francisco,CA,94110,530000,FY2024_Q4
I-200-24228-268800,Certified,,2024-08-21T00:00:00,"OpenAI OpCo, LLC",Member of Product Staff,15-1299.09,Information Technology Project Managers,Y,310000,,Year,173638,Year,San Francisco,CA,94110,310000,FY2024_Q4
I-200-24236-289962,Certified,,2024-08-30T00:00:00,"OpenAI OpCo, LLC",Member of Technical Staff,15-1252.00,Software Developers,Y,360000,,Year,180960,Year,San Francisco,CA,94110,360000,FY2024_Q4
