caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24176-143766,Certified,,2024-07-01T00:00:00,"Pony.AI, Inc.",Supply Chain Manager,11-3071.04,Supply Chain Managers,Y,97700,,Year,76669,Year,Fremont,CA,94538,97700,FY2024_Q4
I-200-24291-414312,Certified,,2024-10-24T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,171000,,Year,155605,Year,Fremont,CA,94538,171000,FY2025_Q1
I-200-24305-445397,Certified,,2024-11-07T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,170000,,Year,155605,Year,Fremont,CA,94538,170000,FY2025_Q1
I-200-24351-546547,Certified,,2024-12-23T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,215000,,Year,206315,Year,Fremont,CA,94538,215000,FY2025_Q1
I-200-24358-568212,Certified,,2025-01-02T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,185000,,Year,180960,Year,Fremont,CA,94538,185000,FY2025_Q2
I-200-25073-777496,Certified,,2025-03-21T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,203000,,Year,180960,Year,Fremont,CA,94538,203000,FY2025_Q2
I-200-25073-777536,Certified,,2025-03-21T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,209900,,Year,206315,Year,Fremont,CA,94538,209900,FY2025_Q2
I-200-25073-777563,Certified,,2025-03-21T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,210000,,Year,206315,Year,Fremont,CA,94538,210000,FY2025_Q2
I-200-25094-833248,Certified,,2025-04-11T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,234000,,Year,206315,Year,Fremont,CA,94538,234000,FY2025_Q3
I-200-25094-833290,Certified,,2025-04-11T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,204000,,Year,180960,Year,Fremont,CA,94538,204000,FY2025_Q3
I-200-25094-833304,Certified,,2025-04-11T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,205700,,Year,180960,Year,Fremont,CA,94538,205700,FY2025_Q3
I-200-25094-833343,Certified,,2025-04-11T00:00:00,"Pony.AI, Inc.",Technical Accountant,13-2011.00,Accountants and Auditors,Y,98300,,Year,96491,Year,Fremont,CA,94538,98300,FY2025_Q3
I-200-25094-833374,Certified,,2025-04-11T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,185500,,Year,180960,Year,Fremont,CA,94538,185500,FY2025_Q3
I-200-25094-834480,Certified,,2025-04-11T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,146000,,Year,130250,Year,Fremont,CA,94538,146000,FY2025_Q3
I-200-25094-834493,Certified,,2025-04-11T00:00:00,"Pony.AI, Inc.",Quality Assurance Specialist,13-1111.00,Management Analysts,Y,85800,,Year,74797,Year,Fremont,CA,94538,85800,FY2025_Q3
I-200-25118-913302,Certified,,2025-05-05T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,190000,,Year,180960,Year,Fremont,CA,94538,190000,FY2025_Q3
I-200-25118-913453,Certified,,2025-05-05T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,131700,,Year,130250,Year,Fremont,CA,94538,131700,FY2025_Q3
I-200-25118-913471,Certified,,2025-05-05T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,220000,,Year,206315,Year,Fremont,CA,94538,220000,FY2025_Q3
I-200-25336-448244,Certified,,2025-12-08T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,220000,,Year,213512,Year,Fremont,CA,94538,220000,FY2026_Q3
I-200-26028-595868,Certified,,2026-02-03T00:00:00,"Pony.AI, Inc.",Autonomous Driving Verification & Validation Engineer,15-2051.00,Data Scientists,Y,174000,,Year,164403,Year,Fremont,CA,94538,174000,FY2026_Q3
I-200-26028-595875,Certified,,2026-02-03T00:00:00,"Pony.AI, Inc.",Senior Software Engineer,15-1252.00,Software Developers,Y,211200,,Year,187574,Year,Fremont,CA,94538,211200,FY2026_Q3
I-200-26091-749363,Certified,,2026-04-08T00:00:00,"Pony.AI, Inc.",Software Engineer,17-2199.08,Robotics Engineers,Y,169125,,Year,133390,Year,Fremont,CA,94538,169125,FY2026_Q3
I-200-26092-753023,Certified,,2026-04-09T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,171200,,Year,161637,Year,Fremont,CA,94538,171200,FY2026_Q3
I-200-26092-753136,Certified,,2026-04-09T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,203900,,Year,161637,Year,Fremont,CA,94538,203900,FY2026_Q3
I-200-26092-753203,Certified,,2026-04-09T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,245300,,Year,161637,Year,Fremont,CA,94538,245300,FY2026_Q3
I-200-26092-753286,Certified,,2026-04-09T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,256000,,Year,161637,Year,Fremont,CA,94538,256000,FY2026_Q3
I-200-26125-867460,Certified,,2026-05-11T00:00:00,"Pony.AI, Inc.",Software Engineer,17-2199.08,Robotics Engineers,Y,135000,,Year,133390,Year,Fremont,CA,94538,135000,FY2026_Q3
I-200-26125-867473,Certified,,2026-05-11T00:00:00,"Pony.AI, Inc.",Software Engineer,17-2199.08,Robotics Engineers,Y,143000,,Year,133390,Year,Fremont,CA,94538,143000,FY2026_Q3
I-200-26125-867477,Certified,,2026-05-11T00:00:00,"Pony.AI, Inc.",Software Engineer,17-2199.08,Robotics Engineers,Y,165000,,Year,133390,Year,Fremont,CA,94538,165000,FY2026_Q3
I-200-26170-035354,Certified,,2026-06-26T00:00:00,"Pony.AI, Inc.",Software Engineer,15-1252.00,Software Developers,Y,242000,,Year,161637,Year,Fremont,CA,94538,242000,FY2026_Q3
