caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24232-277912,Certified,,2024-08-26T00:00:00,SHEIN Technology LLC,GRC Risk Analyst,15-1212.00,Information Security Analysts,Y,105000,115000,Year,98654,Year,Los Angeles,CA,90021,105000,FY2024_Q4
I-200-24268-360876,Certified,,2024-10-01T00:00:00,SHEIN Technology LLC,"Senior Manager, Site Reliability Engineering",11-3021.00,Computer and Information Systems Managers,Y,210000,220000,Year,196040,Year,Bethesda,MD,20817,210000,FY2025_Q1
I-200-24290-411218,Certified,,2024-10-23T00:00:00,SHEIN Technology LLC,Site Reliability Engineer I,15-1252.00,Software Developers,Y,127000,148700,Year,126880,Year,San Diego,CA,92108,127000,FY2025_Q1
I-200-24292-416341,Certified,,2024-10-25T00:00:00,SHEIN Technology LLC,Big Data Engineer II,15-2051.01,Business Intelligence Analysts,Y,148699,209800,Year,103958,Year,San Diego,CA,92108,148699,FY2025_Q1
I-200-24327-495735,Certified,,2024-12-02T00:00:00,SHEIN Technology LLC,Senior Big Data Engineer I,15-2051.01,Business Intelligence Analysts,Y,130600,255000,Year,124176,Year,Los Angeles,CA,90021,130600,FY2025_Q1
I-200-24341-524185,Certified,,2024-12-13T00:00:00,SHEIN Technology LLC,Engineer II Global Network Infra,15-1244.00,Network and Computer Systems Administrators,Y,145000,155000,Year,93101,Year,Whitestown,IN,46075,145000,FY2025_Q1
I-200-25016-623056,Certified,,2025-01-24T00:00:00,SHEIN Technology LLC,GRC Risk Manager,15-1212.00,Information Security Analysts,Y,173056,180200,Year,152547,Year,Los Angeles,CA,90021,173056,FY2025_Q2
I-200-22094-034960,Certified - Withdrawn,,2025-05-27T00:00:00,SHEIN TECHNOLOGY LLC,Senior Security Engineer “ Data Protection & Privacy,15-1122.00,Information Security Analysts,Y,175000,,Year,133349,Year,LOS ANGELES,CA,90021,175000,FY2025_Q3
I-200-23208-219572,Certified - Withdrawn,,2025-05-27T00:00:00,SHEIN Technology LLC,Senior Backend Engineer I,15-1252.00,Software Developers,Y,212000,222000,Year,121222,Year,Los Angeles,CA,90021,212000,FY2025_Q3
I-200-25092-824570,Certified,,2025-04-09T00:00:00,SHEIN Technology LLC,Big Data Engineer I,15-2051.01,Business Intelligence Analysts,Y,151694,187100,Year,151694,Year,Los Angeles,CA,90021,151694,FY2025_Q3
