caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-23128-002180,Certified - Withdrawn,,2025-11-21T00:00:00,Tencent America LLC,Project Manager,11-1021.00,General and Operations Managers,Y,95000.1,,Year,81224,Year,PALO ALTO,CA,94306,95000,FY2026_Q3
I-200-25305-354185,Certified,,2025-11-07T00:00:00,Tencent America LLC,Senior Software Engineer,15-1252.00,Software Developers,Y,204000.16,,Year,187741,Year,PALO ALTO,CA,94306,204000,FY2026_Q3
I-200-25331-442467,Certified,,2025-12-04T00:00:00,Tencent America LLC,Senior Technical Designer,15-1252.00,Software Developers,Y,135000,,Year,129667,Year,Irvine,CA,92618,135000,FY2026_Q3
I-200-25338-457696,Certified,,2025-12-11T00:00:00,Tencent America LLC,Sr. Operation and Development Engineer,15-1252.00,Software Developers,Y,175140.16,,Year,149240,Year,Bellevue,WA,98004,175140,FY2026_Q3
I-200-25350-486964,Certified,,2025-12-23T00:00:00,Tencent America LLC,Hunyuan AIGC Algorithm Researcher (World Model Foundation Di,15-1221.00,Computer and Information Research Scientists,Y,300000.22,,Year,237786,Year,PALO ALTO,CA,94306,300000,FY2026_Q3
I-200-25357-504396,Certified,,2025-12-30T00:00:00,Tencent America LLC,"Manager, NA Technology Service Team",11-3021.00,Computer and Information Systems Managers,Y,199000,,Year,164798,Year,Playa Vista,CA,90066,199000,FY2026_Q3
I-200-26062-677764,Certified,,2026-03-10T00:00:00,Tencent America LLC,Hunyuan AIGC Algorithm Researcher (World Model Foundation Di,15-1221.00,Computer and Information Research Scientists,Y,220000,330000,Year,201094,Year,PALO ALTO,CA,94306,220000,FY2026_Q3
I-200-26062-677776,Certified,,2026-03-10T00:00:00,Tencent America LLC,Hunyuan AIGC Algorithm Researcher (World Model Foundation Di,15-1221.00,Computer and Information Research Scientists,Y,220000,330000,Year,214178,Year,Bellevue,WA,98004,220000,FY2026_Q3
I-200-26062-677786,Certified,,2026-03-10T00:00:00,Tencent America LLC,Hunyuan Multimodal Algorithm Researcher (Omni-Modal),15-1221.00,Computer and Information Research Scientists,Y,220000,330000,Year,201094,Year,PALO ALTO,CA,94306,220000,FY2026_Q3
I-200-26062-677810,Certified,,2026-03-10T00:00:00,Tencent America LLC,Hunyuan Multimodal Algorithm Researcher (Omni-Modal),15-1221.00,Computer and Information Research Scientists,Y,220000,330000,Year,214178,Year,Bellevue,WA,98004,220000,FY2026_Q3
I-200-26063-679876,Certified,,2026-03-11T00:00:00,Tencent America LLC,Senior Project Manager,11-3021.00,Computer and Information Systems Managers,Y,222780.22,,Year,200970,Year,Irvine,CA,92618,222780,FY2026_Q3
