caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-25134-977499,Certified,,2025-05-21T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Ultrasound Engineer,17-2031.00,Bioengineers and Biomedical Engineers,Y,140000,,Year,137301,Year,Bellevue,WA,98007,140000,FY2025_Q3
I-200-25134-977527,Certified,,2025-05-21T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Research Scientist,17-2071.00,Electrical Engineers,Y,113300,,Year,93267,Year,Houston,TX,77054,113300,FY2025_Q3
I-200-25147-018609,Certified,,2025-06-03T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Research Scientist,17-2071.00,Electrical Engineers,Y,113300,,Year,93267,Year,Houston,TX,77054,113300,FY2025_Q3
I-200-25147-018611,Certified,,2025-06-03T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Ultrasound Engineer,17-2031.00,Bioengineers and Biomedical Engineers,Y,140000,,Year,137301,Year,Bellevue,WA,98007,140000,FY2025_Q3
I-200-26126-873833,Certified,,2026-05-13T00:00:00,"United Imaging Healthcare North America, Inc.","Research Scientist, CT",17-2031.00,Bioengineers and Biomedical Engineers,Y,110000,,Year,103210,Year,Houston,TX,77054,110000,FY2026_Q3
I-200-26126-873855,Certified,,2026-05-13T00:00:00,"United Imaging Healthcare North America, Inc.",Research Scientist,17-2031.00,Bioengineers and Biomedical Engineers,Y,113850.1,,Year,103210,Year,Houston,TX,77054,113850,FY2026_Q3
I-200-26126-873873,Certified,,2026-05-13T00:00:00,"United Imaging Healthcare North America, Inc.","Analyst, Sales Strategy & Operations",15-2031.00,Operations Research Analysts,Y,85348.16,,Year,82701,Year,Atlanta,GA,30309,85348,FY2026_Q3
I-200-26126-873883,Certified,,2026-05-13T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Research Scientist,17-2031.00,Bioengineers and Biomedical Engineers,Y,105000.09,,Year,103210,Year,Houston,TX,77054,105000,FY2026_Q3
I-200-26126-873895,Certified,,2026-05-13T00:00:00,"United Imaging Healthcare North America, Inc.",CT Senior Research Scientist,17-2031.00,Bioengineers and Biomedical Engineers,Y,115000.08,,Year,103210,Year,Houston,TX,77054,115000,FY2026_Q3
I-200-26126-873908,Certified,,2026-05-13T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Ultrasound Engineer,17-2031.00,Bioengineers and Biomedical Engineers,Y,126734,,Year,126734,Year,Bellevue,WA,98007,126734,FY2026_Q3
I-200-26127-879879,Certified,,2026-05-14T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Ultrasound Engineer,17-2031.00,Bioengineers and Biomedical Engineers,Y,129125.1,,Year,126734,Year,Bellevue,WA,98007,129125,FY2026_Q3
I-200-26133-902961,Certified,,2026-05-20T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Research Scientist-MRI,17-2031.00,Bioengineers and Biomedical Engineers,Y,130000,,Year,122470,Year,Houston,TX,77054,130000,FY2026_Q3
I-200-26135-914055,Certified,,2026-05-21T00:00:00,"United Imaging Healthcare North America, Inc.",Senior Research Scientist-MRI,17-2031.00,Bioengineers and Biomedical Engineers,Y,130000,,Year,122470,Year,Houston,TX,77054,130000,FY2026_Q3
I-200-26162-004124,Certified,,2026-06-18T00:00:00,"United Imaging Healthcare North America, Inc.","Lead Research Scientist, CT",17-2031.00,Bioengineers and Biomedical Engineers,Y,139171.76,,Year,122470,Year,Houston,TX,77054,139172,FY2026_Q3
