caseNumber,caseStatus,caseSubmitted,decisionDate,employerName,jobTitle,socCode,socTitle,fullTimePosition,wageFrom,wageTo,wageUnit,prevailingWage,pwUnit,worksiteCity,worksiteState,worksitePostalCode,annualizedWage,sourceFile
I-200-24134-989491,Certified - Withdrawn,,2024-07-03T00:00:00,WERIDE CORP,SOFTWARE ENGINEER,15-1252.00,Software Developers,Y,153037,,Year,135283,Year,San Jose,CA,95134,153037,FY2024_Q4
I-200-24177-147057,Certified,,2024-07-02T00:00:00,WeRide CORP,Software Engineer,15-1252.00,Software Developers,Y,191000,,Year,184662,Year,San Jose,CA,95134,191000,FY2024_Q4
I-200-24177-147140,Certified,,2024-07-02T00:00:00,WeRide CORP,Software Engineer,15-1252.00,Software Developers,Y,155000,,Year,135283,Year,San Jose,CA,95134,155000,FY2024_Q4
I-200-24198-200024,Certified,,2024-07-23T00:00:00,WeRide CORP,Software Engineer,15-1252.00,Software Developers,Y,155000,,Year,146307,Year,San Jose,CA,95134,155000,FY2024_Q4
I-200-24311-457681,Certified,,2024-11-14T00:00:00,WeRide CORP,Senior Recruiter/HRBP,13-1071.00,Human Resources Specialists,Y,150000,,Year,137342,Year,San Jose,CA,95134,150000,FY2025_Q1
I-200-24318-471121,Certified,,2024-11-19T00:00:00,WeRide CORP,Software Engineer,15-1252.00,Software Developers,Y,147000,,Year,146307,Year,San Jose,CA,95134,147000,FY2025_Q1
I-200-24318-471135,Certified,,2024-11-19T00:00:00,WeRide CORP,Vehicle Embedded Control Engineer,17-2141.00,Mechanical Engineers,Y,165000,,Year,155043,Year,San Jose,CA,95134,165000,FY2025_Q1
I-200-24322-479816,Certified,,2024-11-22T00:00:00,WeRide CORP,Vehicle Embedded Control Engineer,17-2141.02,Automotive Engineers,Y,165000,,Year,155043,Year,San Jose,CA,95134,165000,FY2025_Q1
I-200-24333-506312,Certified,,2024-12-05T00:00:00,WeRide CORP,System Integration Engineer,17-2141.02,Automotive Engineers,Y,150000,,Year,128690,Year,San Jose,CA,95134,150000,FY2025_Q1
I-200-24338-512267,Certified,,2024-12-10T00:00:00,WeRide CORP,Senior Software Engineer,15-1252.00,Software Developers,Y,180000,,Year,172931,Year,San Jose,CA,95134,180000,FY2025_Q1
I-200-25009-608735,Certified,,2025-01-16T00:00:00,WeRide CORP,Senior Software Engineer,15-1252.00,Software Developers,Y,193800,,Year,172931,Year,San Jose,CA,95134,193800,FY2025_Q2
I-200-25019-628690,Certified,,2025-01-27T00:00:00,WeRide CORP,IT Network Engineer,15-1241.00,Computer Network Architects,Y,160500,,Year,150446,Year,San Jose,CA,95134,160500,FY2025_Q2
